post-median,post-mean,post-min,post-max,pre-median,pre-mean,pre-min,pre-max,mean-best_weights
30.7,28.620000000000005,22.7,31.1,17.0,21.2,11.0,32.0,8.439339576307127
27.8,28.98,24.1,34.5,25.0,27.4,23.0,35.0,8.45585109314428
27.6,32.62,26.7,50.0,34.0,44.6,20.0,84.0,8.455249329005492
31.9,31.379999999999995,28.0,33.8,28.0,25.6,10.0,42.0,8.443016603310408
28.1,28.619999999999997,27.1,32.6,41.0,51.2,17.0,117.0,8.44614416266357
27.3,30.619999999999997,24.7,40.3,20.0,27.8,12.0,55.0,8.447418031809322
30.7,29.7,25.0,34.3,33.0,40.8,26.0,75.0,8.44410394944634
34.7,33.67999999999999,22.4,46.1,24.0,38.6,16.0,72.0,8.441892764010271
31.5,29.799999999999994,25.4,33.1,34.0,32.4,11.0,49.0,8.416034366296795
32.1,29.619999999999997,20.7,36.6,28.0,31.6,16.0,54.0,8.396470147478416
29.5,31.259999999999998,27.7,37.6,25.0,53.4,19.0,119.0,8.388393785424357
29.7,30.46,23.1,37.3,27.0,28.4,10.0,59.0,8.388634713927999
35.5,32.519999999999996,23.6,38.8,33.0,37.2,21.0,54.0,8.40215063856112
31.3,32.44,27.2,40.8,34.0,38.4,23.0,64.0,8.40500969908764
41.8,40.64,35.3,43.7,44.0,43.8,32.0,56.0,8.4056381713261
30.6,30.920000000000005,28.1,34.7,26.0,32.0,23.0,47.0,8.40696792774856
34.1,34.06,29.4,38.5,24.0,30.2,16.0,50.0,8.432876285788184
39.9,37.019999999999996,26.9,44.1,44.0,36.6,13.0,58.0,8.43765804637991
33.8,33.16,27.4,36.1,47.0,42.2,17.0,61.0,8.42456502418418
30.2,29.02,25.5,31.7,28.0,26.4,12.0,42.0,8.432483714323228
35.2,37.88000000000001,33.2,50.4,41.0,34.0,12.0,51.0,8.420336870329944
31.9,32.22,27.7,39.3,36.0,40.4,31.0,56.0,8.432049579826902
39.7,40.17999999999999,32.8,54.8,34.0,35.4,12.0,57.0,8.42773001181903
31.8,34.58,26.3,47.2,25.0,40.0,12.0,88.0,8.414526082073234
36.5,40.92,32.9,59.7,29.0,35.2,22.0,69.0,8.408116343859845
41.0,38.980000000000004,29.0,44.0,34.0,35.0,11.0,68.0,8.394472891198618
29.1,30.339999999999996,24.9,38.8,40.0,41.6,16.0,85.0,8.392069175897632
40.8,39.980000000000004,30.4,44.7,25.0,31.8,10.0,55.0,8.391170656082913
42.3,39.84,31.7,46.7,28.0,30.6,14.0,50.0,8.38792094560232
44.3,43.400000000000006,33.5,48.6,38.0,34.0,14.0,43.0,8.40637165095062
41.0,42.82000000000001,35.3,52.0,47.0,50.4,37.0,67.0,8.41396384412984
29.5,31.54,26.6,40.3,21.0,21.8,11.0,33.0,8.416892876237323
40.1,41.14,35.2,47.7,39.0,38.6,24.0,56.0,8.430831900458353
35.0,35.2,32.7,37.5,33.0,35.4,21.0,50.0,8.433806984852003
37.1,36.1,28.6,42.3,42.0,41.2,11.0,78.0,8.419269884729383
42.3,39.88,28.1,48.5,38.0,40.6,12.0,70.0,8.415226108426376
30.7,32.459999999999994,27.2,41.6,30.0,30.6,14.0,48.0,8.408131776392253
47.3,44.260000000000005,32.2,50.5,24.0,29.2,19.0,54.0,8.413576846838632
40.1,38.42,26.4,48.1,33.0,33.8,19.0,50.0,8.421390736700486
40.6,39.7,34.4,44.1,37.0,36.8,23.0,56.0,8.417716533668715
41.6,40.580000000000005,29.9,50.3,36.0,46.2,31.0,80.0,8.413300600324286
39.9,42.94,35.7,56.7,34.0,34.4,30.0,39.0,8.437666313557415
52.3,49.36,37.8,60.0,42.0,41.2,33.0,54.0,8.432002466901494
40.8,39.5,30.9,45.1,44.0,39.0,22.0,59.0,8.449022188380129
39.2,39.6,32.2,50.1,31.0,31.2,16.0,46.0,8.43402198546191
45.9,44.88,40.2,48.3,56.0,59.2,44.0,79.0,8.421262405100553
40.2,40.06,37.1,42.0,38.0,47.6,21.0,81.0,8.414129252639047
38.0,40.379999999999995,33.1,55.3,33.0,40.4,25.0,65.0,8.395621090533519
43.0,43.739999999999995,37.1,54.1,36.0,46.4,21.0,79.0,8.390279092913543
42.4,41.6,37.4,46.2,32.0,38.6,21.0,64.0,8.399748820816548
40.8,41.54,33.6,52.5,40.0,48.2,38.0,72.0,8.415949122055961
41.3,42.08,38.1,46.3,28.0,37.8,21.0,70.0,8.421133556099381
43.8,44.17999999999999,41.2,47.0,52.0,49.8,24.0,67.0,8.414900572731478
42.7,43.68000000000001,35.3,51.1,44.0,42.6,13.0,68.0,8.40749123270343
40.2,41.42,37.1,49.7,30.0,45.0,22.0,90.0,8.42767607057008
40.1,39.78000000000001,34.7,46.2,52.0,51.4,34.0,66.0,8.434027961456804
40.4,41.0,38.1,44.5,35.0,42.6,24.0,70.0,8.434569114736902
45.9,44.88,37.0,50.9,46.0,44.2,21.0,63.0,8.432579684610259
40.1,41.339999999999996,35.1,48.5,47.0,40.4,10.0,61.0,8.434599388331302
38.3,37.5,34.4,40.6,27.0,28.6,11.0,54.0,8.442881527009243
36.7,35.36,28.0,40.0,34.0,36.4,26.0,50.0,8.433889171777668
42.7,44.5,40.3,48.6,37.0,38.8,26.0,53.0,8.438112078024341
38.6,39.12,38.1,40.6,37.0,30.4,11.0,49.0,8.437265651934462
38.4,36.92,29.3,42.7,18.0,28.0,10.0,48.0,8.416478528775539
43.1,42.239999999999995,35.8,49.5,36.0,41.0,22.0,71.0,8.408626637660829
38.3,38.980000000000004,32.4,49.8,41.0,37.2,19.0,54.0,8.405546145675313
41.0,40.239999999999995,36.9,43.2,52.0,50.8,39.0,65.0,8.427479229045845
40.2,43.92,39.7,51.4,59.0,65.8,54.0,91.0,8.43754464599194
42.3,43.96,38.9,55.9,46.0,48.6,25.0,93.0,8.449594339593792
42.8,41.260000000000005,33.3,46.7,56.0,65.0,27.0,104.0,8.447948716204424
44.7,42.78000000000001,36.9,48.1,60.0,59.8,52.0,71.0,8.463461585018663
