run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100
31769	49.0	44.0	42.0	48.08
106959	45.0	39.0	36.0	40.38
92045	63.0	49.0	45.0	51.31
65400	42.0	34.0	33.0	36.12
24435	41.0	35.0	32.0	35.65
74476	36.0	32.0	31.0	35.14
110444	39.0	34.0	32.0	34.51
4289	48.0	47.0	42.0	50.35
17563	39.0	35.0	31.0	34.79
69985	43.0	35.0	33.0	35.08
117727	39.0	32.0	31.0	34.34
35315	39.0	37.0	33.0	38.9
100897	37.0	33.0	32.0	35.98
118355	42.0	35.0	29.0	33.08
23544	40.0	32.0	29.0	32.91
11412	43.0	39.0	37.0	40.83
42501	36.0	31.0	29.0	32.39
97785	42.0	38.0	37.0	39.68
117558	47.0	40.0	39.0	44.74
117693	42.0	33.0	30.0	33.38
1373	46.0	41.0	39.0	42.1
77817	48.0	45.0	42.0	44.65
64642	45.0	42.0	40.0	43.24
94480	56.0	47.0	47.0	50.79
89674	60.0	53.0	50.0	54.15
105430	54.0	50.0	47.0	53.83
108793	42.0	35.0	34.0	38.43
81466	63.0	50.0	47.0	53.92
90321	45.0	40.0	38.0	40.86
87505	49.0	40.0	36.0	39.26
38660	36.0	32.0	30.0	31.99
2844	50.0	42.0	40.0	43.73
13938	50.0	36.0	32.0	36.87
22642	41.0	38.0	36.0	37.39
4160	44.0	42.0	39.0	42.67
96695	55.0	46.0	44.0	49.5
114253	39.0	33.0	32.0	33.52
122352	44.0	38.0	34.0	38.21
25055	37.0	35.0	31.0	35.1
37946	36.0	34.0	32.0	33.33
77072	38.0	38.0	34.0	37.88
33061	50.0	45.0	40.0	45.97
43031	45.0	37.0	34.0	37.65
69287	49.0	40.0	38.0	43.34
23114	41.0	35.0	33.0	36.64
107537	35.0	34.0	32.0	33.21
60337	45.0	38.0	35.0	38.41
77919	62.0	54.0	53.0	55.88
18387	44.0	37.0	35.0	37.8
35061	40.0	35.0	33.0	34.27
104071	69.0	49.0	47.0	54.52
77471	84.0	81.0	66.0	73.21
34788	41.0	40.0	35.0	37.38
8077	48.0	44.0	38.0	43.21
21781	37.0	35.0	31.0	32.52
51286	77.0	68.0	57.0	63.82
97264	38.0	31.0	29.0	33.24
73203	36.0	30.0	28.0	29.82
23123	50.0	36.0	35.0	39.82
103801	48.0	40.0	37.0	41.69
65106	45.0	38.0	35.0	39.0
74822	42.0	38.0	37.0	38.63
47915	44.0	40.0	35.0	40.94
65875	47.0	41.0	37.0	42.05
91681	35.0	32.0	28.0	29.69
75440	39.0	34.0	33.0	36.94
65703	46.0	44.0	41.0	45.24
65776	34.0	31.0	31.0	32.69
31292	47.0	36.0	35.0	37.87
59037	41.0	40.0	39.0	41.29
15754	37.0	36.0	33.0	35.63
77498	63.0	57.0	50.0	59.42
122377	40.0	37.0	33.0	36.05
80528	43.0	41.0	37.0	40.46
51514	76.0	68.0	55.0	62.97
102006	39.0	32.0	27.0	31.63
61081	40.0	37.0	35.0	38.0
23900	49.0	37.0	36.0	38.24
20194	38.0	32.0	32.0	34.68
117923	44.0	39.0	36.0	41.57
116792	58.0	51.0	47.0	49.91
35235	51.0	42.0	39.0	41.32
115544	51.0	45.0	39.0	44.81
69261	46.0	40.0	39.0	40.29
77116	55.0	52.0	47.0	50.62
39666	39.0	34.0	33.0	33.49
112708	50.0	47.0	42.0	46.78
45385	39.0	31.0	29.0	31.81
8951	46.0	40.0	36.0	38.32
49992	38.0	34.0	32.0	34.58
83399	81.0	69.0	53.0	63.26
28581	39.0	32.0	31.0	31.8
45698	36.0	33.0	31.0	32.06
67717	38.0	34.0	27.0	31.63
106756	69.0	61.0	59.0	62.48
47849	40.0	37.0	36.0	38.07
98639	44.0	37.0	34.0	38.31
2703	43.0	41.0	40.0	42.32
42723	35.0	30.0	28.0	31.4
98549	37.0	32.0	31.0	33.86
17547	35.0	32.0	30.0	31.52
4440	48.0	39.0	37.0	39.86
119758	51.0	46.0	45.0	48.04
70892	37.0	30.0	29.0	30.69
87664	46.0	42.0	39.0	39.43
26927	46.0	44.0	37.0	39.66
53667	58.0	53.0	45.0	49.91
