run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	STDP-RL:AMPA:RLlenhebb	STDP-RL:AMPA:RLlenanti	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:tauhebb	STDP-RL:AMPA:tauanti	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedRL	sim:targetedRLOppFctr	sim:targetedNonEM	critic:posRewardBias	critic:angv_bias	net:deactivateNMDA
77471	84.0	81.0	66.0	73.21	204	204	0.02	-0.02	5	5	5	5	3	0.8	1	2.8	0.5	True
51286	77.0	68.0	57.0	63.82	153	153	0.02	-0.02	3	3	10	10	3	0.8	0	2.8	0.5	False
83399	81.0	69.0	53.0	63.26	204	204	0.02	-0.02	200	200	5	5	3	0.5	0	2.8	0.5	True
51514	76.0	68.0	55.0	62.97	153	153	0.02	-0.02	3	3	25	25	3	0.8	0	2.0	0.5	False
106756	69.0	61.0	59.0	62.48	255	255	0.02	-0.02	50	50	25	25	3	1.0	0	1.5	0.5	False
77498	63.0	57.0	50.0	59.42	204	204	0.02	-0.02	5	5	5	5	3	1.0	1	1.5	0.2	False
77919	62.0	54.0	53.0	55.88	204	204	0.02	-0.02	5	5	25	25	3	0.8	0	2.5	0.2	True
104071	69.0	49.0	47.0	54.52	255	255	0.02	-0.02	10	10	10	10	3	0.8	0	2.0	0.1	True
89674	60.0	53.0	50.0	54.15	204	204	0.01	-0.01	50	50	10	10	3	0.8	0	2.0	0.5	False
81466	63.0	50.0	47.0	53.92	204	204	0.02	-0.02	50	50	25	25	3	0.5	0	2.0	0.5	False
105430	54.0	50.0	47.0	53.83	255	255	0.02	-0.02	25	25	25	25	2	1.0	0	2.8	0.5	False
92045	63.0	49.0	45.0	51.31	204	204	0.01	-0.01	200	200	10	10	3	0.5	1	1.5	0.5	True
94480	56.0	47.0	47.0	50.79	204	204	0.005	-0.005	5	5	10	10	3	0.8	0	2.5	0.5	False
77116	55.0	52.0	47.0	50.62	204	204	0.02	-0.02	5	5	3	3	2	1.0	1	1.5	0.5	False
4289	48.0	47.0	42.0	50.35	51	51	0.02	-0.02	25	25	5	5	3	1.0	0	2.5	0.5	True
116792	58.0	51.0	47.0	49.91	255	255	0.01	-0.01	200	200	3	3	3	0.8	0	2.0	0.2	False
53667	58.0	53.0	45.0	49.91	153	153	0.02	-0.02	10	10	10	10	3	0.8	0	1.5	0.2	True
96695	55.0	46.0	44.0	49.5	204	204	0.005	-0.005	25	25	5	5	3	1.0	0	2.8	0.5	True
31769	49.0	44.0	42.0	48.08	102	102	0.02	-0.02	100	100	5	5	2	1.0	1	2.5	0.5	True
119758	51.0	46.0	45.0	48.04	255	255	0.005	-0.005	5	5	10	10	3	1.0	1	2.8	0.5	False
112708	50.0	47.0	42.0	46.78	255	255	0.01	-0.01	10	10	25	25	3	0.8	0	1.5	0.5	False
33061	50.0	45.0	40.0	45.97	102	102	0.02	-0.02	200	200	5	5	3	0.8	1	2.5	0.1	True
65703	46.0	44.0	41.0	45.24	153	153	0.01	-0.01	100	100	10	10	3	0.8	1	2.5	0.2	True
115544	51.0	45.0	39.0	44.81	255	255	0.01	-0.01	100	100	3	3	3	0.5	0	2.0	0.2	False
117558	47.0	40.0	39.0	44.74	255	255	0.01	-0.01	200	200	25	25	3	1.0	0	2.0	0.1	False
77817	48.0	45.0	42.0	44.65	204	204	0.02	-0.02	5	5	25	25	2	1.0	0	2.0	0.2	True
2844	50.0	42.0	40.0	43.73	51	51	0.02	-0.02	10	10	3	3	3	1.0	0	2.5	0.1	False
69287	49.0	40.0	38.0	43.34	153	153	0.005	-0.005	5	5	10	10	3	0.8	0	2.8	0.5	True
64642	45.0	42.0	40.0	43.24	153	153	0.01	-0.01	50	50	25	25	2	1.0	1	2.0	0.5	False
8077	48.0	44.0	38.0	43.21	51	51	0.02	-0.02	200	200	10	10	3	0.8	0	2.5	0.1	True
4160	44.0	42.0	39.0	42.67	51	51	0.02	-0.02	25	25	5	5	2	1.0	1	2.0	0.2	False
2703	43.0	41.0	40.0	42.32	51	51	0.02	-0.02	10	10	3	3	2	1.0	0	2.5	0.2	True
1373	46.0	41.0	39.0	42.1	51	51	0.02	-0.02	5	5	2	2	3	0.8	1	1.5	0.5	True
65875	47.0	41.0	37.0	42.05	153	153	0.01	-0.01	100	100	25	25	3	0.5	0	2.8	0.1	True
103801	48.0	40.0	37.0	41.69	255	255	0.02	-0.02	10	10	5	5	3	0.5	1	1.5	0.1	True
117923	44.0	39.0	36.0	41.57	255	255	0.005	-0.005	3	3	3	3	2	1.0	1	2.0	0.5	True
35235	51.0	42.0	39.0	41.32	102	102	0.01	-0.01	5	5	3	3	3	1.0	0	1.5	0.2	True
59037	41.0	40.0	39.0	41.29	153	153	0.01	-0.01	3	3	2	2	3	1.0	1	2.8	0.2	True
47915	44.0	40.0	35.0	40.94	102	102	0.005	-0.005	50	50	25	25	3	0.8	0	2.0	0.5	True
90321	45.0	40.0	38.0	40.86	204	204	0.01	-0.01	100	100	3	3	2	1.0	1	2.0	0.2	True
11412	43.0	39.0	37.0	40.83	51	51	0.01	-0.01	10	10	5	5	3	0.5	1	2.5	0.1	False
80528	43.0	41.0	37.0	40.46	204	204	0.02	-0.02	50	50	2	2	3	0.5	1	2.0	0.2	False
106959	45.0	39.0	36.0	40.38	255	255	0.02	-0.02	100	100	2	2	3	0.8	0	2.5	0.2	True
69261	46.0	40.0	39.0	40.29	153	153	0.005	-0.005	5	5	10	10	3	0.5	1	2.8	0.2	True
4440	48.0	39.0	37.0	39.86	51	51	0.02	-0.02	25	25	10	10	3	0.5	1	1.5	0.1	False
23123	50.0	36.0	35.0	39.82	51	51	0.005	-0.005	100	100	3	3	2	1.0	1	2.0	0.5	True
97785	42.0	38.0	37.0	39.68	204	204	0.005	-0.005	50	50	5	5	3	0.5	0	2.0	0.2	True
26927	46.0	44.0	37.0	39.66	102	102	0.02	-0.02	5	5	5	5	1	1.0	1	2.8	0.5	True
87664	46.0	42.0	39.0	39.43	204	204	0.01	-0.01	25	25	2	2	2	1.0	0	2.5	0.5	False
87505	49.0	40.0	36.0	39.26	204	204	0.01	-0.01	10	10	25	25	3	0.8	0	1.5	0.1	True
65106	45.0	38.0	35.0	39.0	153	153	0.01	-0.01	100	100	3	3	2	1.0	0	2.8	0.1	False
35315	39.0	37.0	33.0	38.9	102	102	0.01	-0.01	5	5	5	5	1	1.0	1	2.0	0.5	True
74822	42.0	38.0	37.0	38.63	153	153	0.005	-0.005	200	200	3	3	3	0.8	1	2.5	0.2	False
108793	42.0	35.0	34.0	38.43	255	255	0.02	-0.02	200	200	10	10	2	1.0	1	1.5	0.1	True
60337	45.0	38.0	35.0	38.41	153	153	0.01	-0.01	5	5	3	3	3	0.5	0	1.5	0.1	True
8951	46.0	40.0	36.0	38.32	51	51	0.01	-0.01	3	3	5	5	2	1.0	0	2.8	0.5	True
98639	44.0	37.0	34.0	38.31	204	204	0.005	-0.005	100	100	2	2	3	1.0	1	2.8	0.5	True
23900	49.0	37.0	36.0	38.24	51	51	0.005	-0.005	100	100	25	25	3	0.5	1	2.8	0.2	False
122352	44.0	38.0	34.0	38.21	255	255	0.005	-0.005	25	25	25	25	3	1.0	0	1.5	0.1	False
47849	40.0	37.0	36.0	38.07	102	102	0.005	-0.005	50	50	25	25	2	1.0	1	2.5	0.5	True
61081	40.0	37.0	35.0	38.0	153	153	0.01	-0.01	5	5	25	25	3	0.5	1	1.5	0.1	True
77072	38.0	38.0	34.0	37.88	204	204	0.02	-0.02	5	5	3	3	1	1.0	1	2.0	0.2	False
31292	47.0	36.0	35.0	37.87	102	102	0.02	-0.02	100	100	2	2	2	1.0	1	2.8	0.2	False
18387	44.0	37.0	35.0	37.8	51	51	0.005	-0.005	5	5	3	3	3	0.8	0	1.5	0.2	True
43031	45.0	37.0	34.0	37.65	102	102	0.005	-0.005	3	3	25	25	2	1.0	0	2.8	0.5	True
22642	41.0	38.0	36.0	37.39	51	51	0.005	-0.005	50	50	25	25	2	1.0	1	2.0	0.5	False
34788	41.0	40.0	35.0	37.38	102	102	0.01	-0.01	3	3	25	25	3	1.0	1	2.5	0.1	False
75440	39.0	34.0	33.0	36.94	153	153	0.005	-0.005	200	200	25	25	2	1.0	1	2.0	0.2	False
13938	50.0	36.0	32.0	36.87	51	51	0.01	-0.01	50	50	10	10	1	1.0	0	2.8	0.1	False
23114	41.0	35.0	33.0	36.64	51	51	0.005	-0.005	100	100	3	3	2	1.0	1	1.5	0.2	False
65400	42.0	34.0	33.0	36.12	153	153	0.01	-0.01	100	100	5	5	3	0.5	1	1.5	0.1	False
122377	40.0	37.0	33.0	36.05	255	255	0.005	-0.005	25	25	25	25	3	1.0	1	1.5	0.1	True
100897	37.0	33.0	32.0	35.98	255	255	0.02	-0.02	3	3	2	2	3	0.5	0	1.5	0.1	True
24435	41.0	35.0	32.0	35.65	51	51	0.005	-0.005	200	200	3	3	3	1.0	0	1.5	0.2	True
15754	37.0	36.0	33.0	35.63	51	51	0.01	-0.01	200	200	2	2	3	0.8	0	2.0	0.5	False
74476	36.0	32.0	31.0	35.14	153	153	0.005	-0.005	200	200	2	2	2	1.0	1	1.5	0.5	False
25055	37.0	35.0	31.0	35.1	51	51	0.005	-0.005	200	200	25	25	2	1.0	1	2.8	0.5	True
69985	43.0	35.0	33.0	35.08	153	153	0.005	-0.005	10	10	3	3	3	0.8	0	1.5	0.1	True
17563	39.0	35.0	31.0	34.79	51	51	0.005	-0.005	3	3	10	10	1	1.0	1	2.8	0.1	True
20194	38.0	32.0	32.0	34.68	51	51	0.005	-0.005	10	10	25	25	1	1.0	1	2.0	0.5	False
49992	38.0	34.0	32.0	34.58	102	102	0.005	-0.005	200	200	10	10	2	1.0	1	1.5	0.1	False
110444	39.0	34.0	32.0	34.51	255	255	0.01	-0.01	5	5	2	2	1	1.0	1	2.8	0.2	False
117727	39.0	32.0	31.0	34.34	255	255	0.005	-0.005	3	3	2	2	3	0.5	1	2.0	0.1	True
35061	40.0	35.0	33.0	34.27	102	102	0.01	-0.01	5	5	3	3	1	1.0	0	2.8	0.2	True
98549	37.0	32.0	31.0	33.86	204	204	0.005	-0.005	100	100	2	2	3	0.8	0	1.5	0.5	True
114253	39.0	33.0	32.0	33.52	255	255	0.01	-0.01	50	50	3	3	1	1.0	0	2.5	0.1	True
39666	39.0	34.0	33.0	33.49	102	102	0.01	-0.01	100	100	2	2	2	1.0	0	2.8	0.1	False
117693	42.0	33.0	30.0	33.38	255	255	0.005	-0.005	3	3	2	2	2	1.0	1	2.8	0.2	True
37946	36.0	34.0	32.0	33.33	102	102	0.01	-0.01	25	25	10	10	1	1.0	1	1.5	0.2	False
97264	38.0	31.0	29.0	33.24	204	204	0.005	-0.005	50	50	2	2	2	1.0	0	2.5	0.5	False
107537	35.0	34.0	32.0	33.21	255	255	0.02	-0.02	100	100	10	10	1	1.0	0	2.5	0.5	True
118355	42.0	35.0	29.0	33.08	255	255	0.005	-0.005	3	3	10	10	1	1.0	1	2.0	0.5	True
23544	40.0	32.0	29.0	32.91	51	51	0.005	-0.005	100	100	10	10	1	1.0	1	1.5	0.1	False
65776	34.0	31.0	31.0	32.69	153	153	0.01	-0.01	100	100	25	25	1	1.0	0	2.5	0.5	False
21781	37.0	35.0	31.0	32.52	51	51	0.005	-0.005	50	50	2	2	3	0.8	1	2.5	0.1	True
42501	36.0	31.0	29.0	32.39	102	102	0.005	-0.005	3	3	5	5	1	1.0	0	2.8	0.2	True
45698	36.0	33.0	31.0	32.06	102	102	0.005	-0.005	25	25	2	2	3	0.5	0	1.5	0.2	False
38660	36.0	32.0	30.0	31.99	102	102	0.01	-0.01	50	50	3	3	1	1.0	0	2.8	0.2	False
45385	39.0	31.0	29.0	31.81	102	102	0.005	-0.005	10	10	25	25	1	1.0	1	1.5	0.1	True
28581	39.0	32.0	31.0	31.8	102	102	0.02	-0.02	10	10	25	25	1	1.0	0	2.8	0.2	True
102006	39.0	32.0	27.0	31.63	255	255	0.02	-0.02	5	5	2	2	1	1.0	0	2.0	0.1	False
67717	38.0	34.0	27.0	31.63	153	153	0.005	-0.005	3	3	5	5	1	1.0	1	2.5	0.1	True
17547	35.0	32.0	30.0	31.52	51	51	0.005	-0.005	3	3	10	10	1	1.0	1	1.5	0.2	True
42723	35.0	30.0	28.0	31.4	102	102	0.005	-0.005	3	3	10	10	1	1.0	0	1.5	0.2	True
70892	37.0	30.0	29.0	30.69	153	153	0.005	-0.005	25	25	2	2	2	1.0	1	2.8	0.2	False
73203	36.0	30.0	28.0	29.82	153	153	0.005	-0.005	100	100	2	2	1	1.0	0	1.5	0.2	True
91681	35.0	32.0	28.0	29.69	204	204	0.01	-0.01	200	200	5	5	1	1.0	0	1.5	0.1	True
