run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain	net:deactivateNMDA	net:cmat:EM:EM:conv
0	0.025	-0.025	5	5	0.6	1.5	0.4	False	2.0	False	0
1	0.025	-0.025	5	5	0.6	1.5	0.4	False	2.0	False	1
2	0.025	-0.025	5	5	0.6	1.5	0.4	False	2.0	False	2
3	0.025	-0.025	5	5	0.6	1.5	0.4	False	2.0	True	0
4	0.025	-0.025	5	5	0.6	1.5	0.4	False	2.0	True	1
5	0.025	-0.025	5	5	0.6	1.5	0.4	False	2.0	True	2
6	0.025	-0.025	5	5	0.6	1.5	0.4	False	3.0	False	0
7	0.025	-0.025	5	5	0.6	1.5	0.4	False	3.0	False	1
8	0.025	-0.025	5	5	0.6	1.5	0.4	False	3.0	False	2
9	0.025	-0.025	5	5	0.6	1.5	0.4	False	3.0	True	0
10	0.025	-0.025	5	5	0.6	1.5	0.4	False	3.0	True	1
11	0.025	-0.025	5	5	0.6	1.5	0.4	False	3.0	True	2
12	0.025	-0.025	5	5	0.6	1.5	0.4	True	2.0	False	0
13	0.025	-0.025	5	5	0.6	1.5	0.4	True	2.0	False	1
14	0.025	-0.025	5	5	0.6	1.5	0.4	True	2.0	False	2
15	0.025	-0.025	5	5	0.6	1.5	0.4	True	2.0	True	0
16	0.025	-0.025	5	5	0.6	1.5	0.4	True	2.0	True	1
17	0.025	-0.025	5	5	0.6	1.5	0.4	True	2.0	True	2
18	0.025	-0.025	5	5	0.6	1.5	0.4	True	3.0	False	0
19	0.025	-0.025	5	5	0.6	1.5	0.4	True	3.0	False	1
20	0.025	-0.025	5	5	0.6	1.5	0.4	True	3.0	False	2
21	0.025	-0.025	5	5	0.6	1.5	0.4	True	3.0	True	0
22	0.025	-0.025	5	5	0.6	1.5	0.4	True	3.0	True	1
23	0.025	-0.025	5	5	0.6	1.5	0.4	True	3.0	True	2
24	0.025	-0.025	5	5	0.6	1.5	0.5	False	2.0	False	0
25	0.025	-0.025	5	5	0.6	1.5	0.5	False	2.0	False	1
26	0.025	-0.025	5	5	0.6	1.5	0.5	False	2.0	False	2
27	0.025	-0.025	5	5	0.6	1.5	0.5	False	2.0	True	0
28	0.025	-0.025	5	5	0.6	1.5	0.5	False	2.0	True	1
29	0.025	-0.025	5	5	0.6	1.5	0.5	False	2.0	True	2
30	0.025	-0.025	5	5	0.6	1.5	0.5	False	3.0	False	0
31	0.025	-0.025	5	5	0.6	1.5	0.5	False	3.0	False	1
32	0.025	-0.025	5	5	0.6	1.5	0.5	False	3.0	False	2
33	0.025	-0.025	5	5	0.6	1.5	0.5	False	3.0	True	0
34	0.025	-0.025	5	5	0.6	1.5	0.5	False	3.0	True	1
35	0.025	-0.025	5	5	0.6	1.5	0.5	False	3.0	True	2
36	0.025	-0.025	5	5	0.6	1.5	0.5	True	2.0	False	0
37	0.025	-0.025	5	5	0.6	1.5	0.5	True	2.0	False	1
38	0.025	-0.025	5	5	0.6	1.5	0.5	True	2.0	False	2
39	0.025	-0.025	5	5	0.6	1.5	0.5	True	2.0	True	0
40	0.025	-0.025	5	5	0.6	1.5	0.5	True	2.0	True	1
41	0.025	-0.025	5	5	0.6	1.5	0.5	True	2.0	True	2
42	0.025	-0.025	5	5	0.6	1.5	0.5	True	3.0	False	0
43	0.025	-0.025	5	5	0.6	1.5	0.5	True	3.0	False	1
44	0.025	-0.025	5	5	0.6	1.5	0.5	True	3.0	False	2
