run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA
4176	68.0	53.0	50.0	59.19	5.76415	5.2146
2530	86.0	65.0	57.0	68.75	5.5175	5.0938
8556	69.0	61.0	56.0	62.55	5.66245	5.1747
3892	68.0	60.0	51.0	60.13	5.353949999999999	5.14215
3848	83.0	71.0	56.0	62.71	5.5507	5.17995
9416	69.0	60.0	56.0	63.15	5.5527999999999995	5.20275
10876	60.0	54.0	47.0	54.45	5.46525	5.1582
13234	70.0	60.0	53.0	62.59	5.263199999999999	5.13105
11569	68.0	57.0	53.0	61.37	5.36165	5.208
3161	82.0	76.0	66.0	70.26	5.4218	5.1312
7358	61.0	56.0	52.0	58.41	5.58525	5.212149999999999
11603	68.0	46.0	45.0	53.8	5.2424	5.15205
7439	75.0	68.0	59.0	68.46	5.4021	5.1353
4549	70.0	58.0	55.0	60.24	5.66575	5.218999999999999
993	81.0	69.0	62.0	69.77	5.5281	5.1044
10342	72.0	69.0	57.0	63.35	5.30015	5.1424
7340	79.0	70.0	57.0	69.11	5.4270000000000005	5.1719
13294	63.0	49.0	48.0	54.58	5.3491	5.17715
10135	73.0	71.0	62.0	64.74	5.5703499999999995	5.18585
6176	82.0	73.0	61.0	68.05	5.5761	5.16
11278	80.0	65.0	60.0	61.63	5.313000000000001	5.16545
9119	61.0	59.0	54.0	64.43	5.26065	5.0845
4293	74.0	70.0	55.0	64.79	5.53855	5.13635
10970	57.0	49.0	44.0	51.77	5.4413	5.24345
5958	96.0	72.0	61.0	68.91	5.75045	5.1678
5168	84.0	65.0	61.0	70.89	5.5292	5.1556
1998	76.0	66.0	62.0	72.14	5.69955	5.2049
7173	87.0	72.0	63.0	69.91	5.3443	5.0713
2820	77.0	73.0	61.0	66.58	5.79625	5.200950000000001
1163	69.0	65.0	55.0	59.23	5.075699999999999	5.129
3497	54.0	48.0	43.0	50.24	5.21425	5.221
3356	94.0	79.0	69.0	76.03	5.38575	5.1446
6672	63.0	56.0	55.0	64.68	5.5785	5.2218
1089	94.0	72.0	64.0	70.65	5.4338999999999995	5.0838
11861	67.0	62.0	50.0	58.05	5.286849999999999	5.19765
13341	64.0	55.0	48.0	54.4	5.4108	5.1812
2169	76.0	73.0	64.0	71.69	5.64935	5.1317
12731	64.0	58.0	50.0	57.88	5.0404	5.0968
10178	67.0	60.0	51.0	57.08	5.5819	5.23705
3505	72.0	55.0	54.0	59.61	5.443	5.2165
12421	57.0	48.0	44.0	51.36	5.48375	5.25995
4228	76.0	67.0	59.0	61.93	5.432650000000001	5.13715
13140	61.0	48.0	47.0	54.24	5.5453	5.23355
7521	92.0	63.0	55.0	66.73	5.273	5.11415
472	77.0	62.0	53.0	58.79	5.61055	5.15395
4900	67.0	51.0	48.0	55.95	5.1424	5.17575
