run_id	max_median_s21	max_median_s51	max_median_s101	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain	net:deactivateNMDA	net:cmat:EM:EM:conv
3356	94.0	79.0	69.0	5.38575	5.1446	0.025	-0.025	15	15	0.9	2.5	0.5	True	3.0	False	2
1005	94.0	85.0	67.0	5.3728	5.081049999999999	0.025	-0.025	5	5	0.9	2.0	0.8	True	3.0	True	0
3161	82.0	76.0	66.0	5.4218	5.1312	0.025	-0.025	15	15	0.8	2.8	0.8	True	2.0	True	2
1120	76.0	70.0	65.0	5.4702	5.12195	0.025	-0.025	5	5	0.9	2.8	0.5	True	2.0	True	1
1089	94.0	72.0	64.0	5.4338999999999995	5.0838	0.025	-0.025	5	5	0.9	2.8	0.4	False	3.0	True	0
2169	76.0	73.0	64.0	5.64935	5.1317	0.025	-0.025	10	10	0.9	2.5	0.4	False	3.0	True	0
7413	76.0	70.0	64.0	5.2355	5.1083	0.02	-0.02	15	15	0.7	2.5	0.8	True	3.0	True	0
7173	87.0	72.0	63.0	5.3443	5.0713	0.02	-0.02	15	15	0.6	2.8	0.5	True	3.0	True	0
1849	90.0	74.0	63.0	5.7184	5.2241	0.025	-0.025	10	10	0.8	2.0	0.8	False	2.0	False	1
1790	77.0	71.0	63.0	5.4281999999999995	5.199	0.025	-0.025	10	10	0.8	1.5	0.8	True	2.0	False	2
6478	80.0	72.0	63.0	5.3048	5.15045	0.02	-0.02	10	10	0.8	2.0	0.8	True	3.0	True	1
993	81.0	69.0	62.0	5.5281	5.1044	0.025	-0.025	5	5	0.9	2.0	0.8	False	3.0	True	0
10135	73.0	71.0	62.0	5.5703499999999995	5.18585	0.015	-0.015	5	5	0.9	1.5	0.8	False	3.0	False	1
1998	76.0	66.0	62.0	5.69955	5.2049	0.025	-0.025	10	10	0.8	2.8	0.8	False	3.0	False	0
5262	78.0	67.0	62.0	5.69375	5.2305	0.02	-0.02	5	5	0.8	2.0	0.4	False	3.0	False	0
7304	85.0	75.0	62.0	5.5469	5.1904	0.02	-0.02	15	15	0.7	2.0	0.5	False	3.0	False	2
5682	69.0	66.0	62.0	5.59695	5.16685	0.02	-0.02	5	5	0.9	2.5	0.8	True	3.0	False	0
4103	79.0	65.0	62.0	5.28735	5.1038499999999996	0.025	-0.025	25	25	0.8	1.5	0.8	True	3.0	True	2
6031	83.0	67.0	62.0	5.6982	5.1563	0.02	-0.02	10	10	0.6	2.8	0.8	False	3.0	False	1
4246	81.0	62.0	62.0	5.28895	5.09435	0.025	-0.025	25	25	0.8	2.5	0.8	True	3.0	True	1
6176	82.0	73.0	61.0	5.5761	5.16	0.02	-0.02	10	10	0.7	2.0	0.8	False	3.0	False	2
5958	96.0	72.0	61.0	5.75045	5.1678	0.02	-0.02	10	10	0.6	2.5	0.8	False	3.0	False	0
5168	84.0	65.0	61.0	5.5292	5.1556	0.02	-0.02	5	5	0.7	2.8	0.8	False	3.0	False	2
2820	77.0	73.0	61.0	5.79625	5.200950000000001	0.025	-0.025	15	15	0.7	2.8	0.4	True	2.0	False	0
981	78.0	69.0	61.0	5.50235	5.1409	0.025	-0.025	5	5	0.9	2.0	0.5	True	3.0	True	0
433	71.0	68.0	61.0	5.8621	5.2292499999999995	0.025	-0.025	5	5	0.7	2.5	0.4	False	2.0	False	1
11278	80.0	65.0	60.0	5.313000000000001	5.16545	0.015	-0.015	10	10	0.9	1.5	0.5	True	3.0	True	1
12441	75.0	68.0	60.0	5.3238	5.11975	0.015	-0.015	15	15	0.9	1.5	0.8	False	3.0	True	0
8915	76.0	70.0	60.0	5.1842500000000005	5.100849999999999	0.02	-0.02	25	25	0.8	2.8	0.8	False	3.0	True	2
5538	68.0	62.0	60.0	5.6472999999999995	5.1823500000000005	0.02	-0.02	5	5	0.9	1.5	0.8	True	3.0	False	0
7439	75.0	68.0	59.0	5.4021	5.1353	0.02	-0.02	15	15	0.7	2.8	0.4	True	3.0	True	2
4228	76.0	67.0	59.0	5.432650000000001	5.13715	0.025	-0.025	25	25	0.8	2.5	0.8	False	2.0	True	1
2358	76.0	68.0	59.0	5.6608	5.22755	0.025	-0.025	15	15	0.6	1.5	0.8	False	3.0	False	0
5984	75.0	66.0	59.0	5.765	5.16395	0.02	-0.02	10	10	0.6	2.8	0.4	False	3.0	False	2
9214	75.0	66.0	59.0	5.29985	5.1198999999999995	0.02	-0.02	25	25	0.9	2.8	0.8	True	3.0	True	1
11135	79.0	74.0	59.0	5.24645	5.15305	0.015	-0.015	10	10	0.8	2.5	0.5	True	3.0	True	2
12251	75.0	61.0	58.0	5.2486	5.1345	0.015	-0.015	15	15	0.8	2.5	0.4	False	3.0	True	2
7522	81.0	67.0	58.0	5.1944	5.11185	0.02	-0.02	15	15	0.8	1.5	0.5	False	3.0	True	1
7333	77.0	66.0	58.0	5.628349999999999	5.2052	0.02	-0.02	15	15	0.7	2.0	0.8	True	2.0	False	1
9571	78.0	72.0	58.0	5.5398499999999995	5.19465	0.015	-0.015	5	5	0.7	1.5	0.8	True	3.0	False	1
1739	73.0	64.0	58.0	5.31285	5.1831000000000005	0.025	-0.025	10	10	0.8	1.5	0.4	False	3.0	True	2
2530	86.0	65.0	57.0	5.5175	5.0938	0.025	-0.025	15	15	0.6	2.8	0.4	False	3.0	True	1
10342	72.0	69.0	57.0	5.30015	5.1424	0.015	-0.015	5	5	0.9	2.8	0.5	True	3.0	True	1
7340	79.0	70.0	57.0	5.4270000000000005	5.1719	0.02	-0.02	15	15	0.7	2.0	0.8	True	3.0	False	2
1010	74.0	59.0	57.0	5.6984	5.2090000000000005	0.025	-0.025	5	5	0.9	2.5	0.4	False	2.0	False	2
7158	75.0	69.0	57.0	6.017799999999999	5.2467500000000005	0.02	-0.02	15	15	0.6	2.8	0.5	False	3.0	False	0
8556	69.0	61.0	56.0	5.66245	5.1747	0.02	-0.02	25	25	0.7	2.5	0.8	True	2.0	False	0
3848	83.0	71.0	56.0	5.5507	5.17995	0.025	-0.025	25	25	0.7	2.0	0.5	False	3.0	False	2
9416	69.0	60.0	56.0	5.5527999999999995	5.20275	0.015	-0.015	5	5	0.6	2.5	0.8	False	3.0	False	2
4678	69.0	63.0	56.0	5.27995	5.16885	0.02	-0.02	5	5	0.6	1.5	0.8	True	3.0	True	1
11728	71.0	59.0	56.0	5.45205	5.186999999999999	0.015	-0.015	15	15	0.6	2.5	0.8	True	2.0	True	1
1820	71.0	58.0	56.0	5.58315	5.21865	0.025	-0.025	10	10	0.8	2.0	0.4	True	3.0	False	2
4549	70.0	58.0	55.0	5.66575	5.218999999999999	0.025	-0.025	25	25	0.9	2.8	0.4	True	2.0	False	1
4293	74.0	70.0	55.0	5.53855	5.13635	0.025	-0.025	25	25	0.8	2.8	0.5	True	3.0	True	0
1163	69.0	65.0	55.0	5.075699999999999	5.129	0.025	-0.025	10	10	0.6	1.5	0.4	False	3.0	True	2
6672	63.0	56.0	55.0	5.5785	5.2218	0.02	-0.02	10	10	0.9	1.5	0.8	False	2.0	False	0
7521	92.0	63.0	55.0	5.273	5.11415	0.02	-0.02	15	15	0.8	1.5	0.5	False	3.0	True	0
8686	76.0	57.0	55.0	5.2890500000000005	5.14175	0.02	-0.02	25	25	0.8	1.5	0.5	True	3.0	True	1
9119	61.0	59.0	54.0	5.26065	5.0845	0.02	-0.02	25	25	0.9	2.5	0.5	True	3.0	True	2
3505	72.0	55.0	54.0	5.443	5.2165	0.025	-0.025	25	25	0.6	1.5	0.8	False	2.0	False	1
6932	65.0	62.0	54.0	5.2859	5.2272	0.02	-0.02	15	15	0.6	1.5	0.4	True	3.0	False	2
13234	70.0	60.0	53.0	5.263199999999999	5.13105	0.015	-0.015	25	25	0.7	2.8	0.8	False	3.0	True	1
11569	68.0	57.0	53.0	5.36165	5.208	0.015	-0.015	15	15	0.6	1.5	0.8	False	2.0	False	1
472	77.0	62.0	53.0	5.61055	5.15395	0.025	-0.025	5	5	0.7	2.5	0.5	True	2.0	True	1
10962	64.0	57.0	53.0	5.5246	5.23595	0.015	-0.015	10	10	0.8	1.5	0.4	True	3.0	False	0
8620	65.0	61.0	53.0	5.50755	5.1353	0.02	-0.02	25	25	0.7	2.8	0.8	False	2.0	True	1
10778	70.0	56.0	53.0	5.5751	5.2267	0.015	-0.015	10	10	0.7	2.0	0.8	False	2.0	False	2
7071	71.0	58.0	53.0	5.5258	5.1769	0.02	-0.02	15	15	0.6	2.5	0.4	True	2.0	True	0
12053	66.0	58.0	53.0	5.26725	5.11625	0.015	-0.015	15	15	0.7	2.8	0.5	False	2.0	True	2
7358	61.0	56.0	52.0	5.58525	5.212149999999999	0.02	-0.02	15	15	0.7	2.5	0.4	True	2.0	False	2
9735	64.0	61.0	52.0	5.3868	5.15225	0.015	-0.015	5	5	0.7	2.8	0.4	True	2.0	True	0
13363	65.0	57.0	52.0	5.6617	5.25195	0.015	-0.015	25	25	0.8	2.0	0.5	True	3.0	False	1
12221	64.0	57.0	52.0	5.3776	5.1781	0.015	-0.015	15	15	0.8	2.0	0.8	False	2.0	True	2
3892	68.0	60.0	51.0	5.353949999999999	5.14215	0.025	-0.025	25	25	0.7	2.5	0.4	False	2.0	True	1
10178	67.0	60.0	51.0	5.5819	5.23705	0.015	-0.015	5	5	0.9	2.0	0.5	False	2.0	False	2
11528	70.0	66.0	51.0	5.422	5.2363	0.015	-0.015	15	15	0.6	1.5	0.4	False	3.0	False	2
13074	67.0	52.0	51.0	5.50305	5.19615	0.015	-0.015	25	25	0.7	2.0	0.5	True	3.0	False	0
9880	62.0	55.0	51.0	5.3026	5.175800000000001	0.015	-0.015	5	5	0.8	2.0	0.4	True	2.0	True	1
13735	75.0	64.0	51.0	5.5968	5.22195	0.015	-0.015	25	25	0.9	2.5	0.8	False	3.0	False	1
4176	68.0	53.0	50.0	5.76415	5.2146	0.025	-0.025	25	25	0.8	2.5	0.4	False	2.0	False	0
11861	67.0	62.0	50.0	5.286849999999999	5.19765	0.015	-0.015	15	15	0.7	1.5	0.8	False	2.0	True	2
12731	64.0	58.0	50.0	5.0404	5.0968	0.015	-0.015	25	25	0.6	1.5	0.8	False	3.0	True	2
10781	60.0	56.0	50.0	5.3671500000000005	5.189	0.015	-0.015	10	10	0.7	2.0	0.8	False	2.0	True	2
11462	61.0	54.0	49.0	5.70955	5.27325	0.015	-0.015	10	10	0.9	2.8	0.4	True	2.0	False	2
13294	63.0	49.0	48.0	5.3491	5.17715	0.015	-0.015	25	25	0.8	1.5	0.5	True	3.0	True	1
13341	64.0	55.0	48.0	5.4108	5.1812	0.015	-0.015	25	25	0.8	2.0	0.4	True	3.0	True	0
4900	67.0	51.0	48.0	5.1424	5.17575	0.02	-0.02	5	5	0.7	1.5	0.4	False	2.0	True	1
10876	60.0	54.0	47.0	5.46525	5.1582	0.015	-0.015	10	10	0.7	2.8	0.4	False	2.0	True	1
13140	61.0	48.0	47.0	5.5453	5.23355	0.015	-0.015	25	25	0.7	2.5	0.5	True	2.0	False	0
10453	57.0	52.0	47.0	5.70365	5.28855	0.015	-0.015	10	10	0.6	2.0	0.4	True	2.0	False	1
11254	66.0	53.0	47.0	5.2376	5.15015	0.015	-0.015	10	10	0.9	1.5	0.4	True	3.0	True	1
12807	52.0	48.0	46.0	5.30405	5.1487	0.015	-0.015	25	25	0.6	2.0	0.8	True	2.0	True	0
13118	55.0	46.0	46.0	5.603199999999999	5.2436	0.015	-0.015	25	25	0.7	2.5	0.4	True	2.0	False	2
11603	68.0	46.0	45.0	5.2424	5.15205	0.015	-0.015	15	15	0.6	2.0	0.4	False	3.0	True	2
10538	59.0	51.0	45.0	5.9342500000000005	5.31095	0.015	-0.015	10	10	0.6	2.5	0.5	False	2.0	False	2
10970	57.0	49.0	44.0	5.4413	5.24345	0.015	-0.015	10	10	0.8	1.5	0.5	False	2.0	False	2
