run_id	max_median_s21	max_median_s51	max_median_s101	freq_EM	freq_EA
2780	89.0	80.0	75.0	7.140537500000001	5.5706625
5425	108.0	91.0	85.0	6.8742375	5.426825
3573	112.0	108.0	95.0	6.8227875	5.5709375
13321	116.0	106.0	81.0	6.3133125	5.3997625
447	69.0	64.0	61.0	11.751475000000001	8.530725
8170	101.0	93.0	79.0	6.9611625	5.7279125
16564	101.0	84.0	81.0	6.5217	5.4689
2239	109.0	96.0	95.0	7.163349999999999	5.5691125
737	91.0	80.0	76.0	7.0664125	5.3847499999999995
16149	101.0	85.0	78.0	6.486675	5.3900625
16563	84.0	77.0	72.0	6.5753875	5.4683375
5615	94.0	75.0	71.0	6.462999999999999	5.4092875
142	95.0	80.0	75.0	6.4369	5.4069375
11699	80.0	69.0	60.0	11.585375	8.4884375
7343	97.0	83.0	77.0	6.505275	5.4496
15416	96.0	83.0	78.0	6.5047749999999995	5.428275
2075	112.0	108.0	106.0	6.9815625	5.4435375
8671	71.0	59.0	54.0	11.663987500000001	8.5875
5720	78.0	70.0	68.0	6.5045125	5.4582625
7541	132.0	117.0	83.0	7.015949999999999	5.5939
1408	114.0	98.0	95.0	6.5631	5.42345
10469	84.0	75.0	70.0	6.539825	5.496425
1533	110.0	101.0	93.0	6.591575000000001	5.3633625
2703	125.0	113.0	103.0	7.053700000000001	5.754775
15516	104.0	79.0	79.0	6.3581	5.4445250000000005
8389	103.0	84.0	75.0	7.552625000000001	5.9314875
2160	88.0	72.0	65.0	11.985837499999999	8.620825
3233	124.0	112.0	106.0	6.9147625	5.4966875
2427	122.0	107.0	93.0	6.925437499999999	5.6316375
