run_id	max_median_s21	max_median_s51	max_median_s101	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	simtype:ResumeSimFromFile	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain
2075	112.0	108.0	106.0	6.9815625	5.4435375	0.02	-0.02	1	0.5	0.8	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	3.0	0.8	True	3.5
3233	124.0	112.0	106.0	6.9147625	5.4966875	0.02	-0.02	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	3.0	1.0	True	3.5
2703	125.0	113.0	103.0	7.053700000000001	5.754775	0.02	-0.02	1	0.8	0.8	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	1.0	True	2.5
3573	112.0	108.0	95.0	6.8227875	5.5709375	0.02	-0.02	1	1.0	0.8	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	2.0	True	2.5
2239	109.0	96.0	95.0	7.163349999999999	5.5691125	0.02	-0.02	1	0.5	0.9	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.5	0.8	False	3.0
1408	114.0	98.0	95.0	6.5631	5.42345	0.02	-0.02	1	0.2	0.9	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	1.0	True	3.0
1533	110.0	101.0	93.0	6.591575000000001	5.3633625	0.02	-0.02	1	0.2	0.9	results/hpsearch-2021-09-04/initv2_3356/synWeights_final.pkl	2.5	2.0	True	2.5
2427	122.0	107.0	93.0	6.925437499999999	5.6316375	0.02	-0.02	1	0.5	0.9	results/hpsearch-2021-09-04/initv2_3356/synWeights_final.pkl	3.0	0.5	True	2.5
2298	114.0	97.0	89.0	7.0237375	5.53415	0.02	-0.02	1	0.5	0.9	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	3.0	2.0	False	2.5
16752	98.0	89.0	86.0	6.5708375000000006	5.5277125	0.005	-0.005	1	1.0	0.8	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	3.0	0.5	False	2.5
5425	108.0	91.0	85.0	6.8742375	5.426825	0.015	-0.015	1	0.2	0.8	results/hpsearch-2021-09-04/initv2_3356/synWeights_final.pkl	2.8	0.5	False	3.0
2551	112.0	102.0	85.0	7.247249999999999	5.630975	0.02	-0.02	1	0.5	0.9	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.8	0.8	False	3.0
5033	102.0	94.0	84.0	6.447975	5.33785	0.015	-0.015	0	1.0	0.9	results/hpsearch-2021-09-04/initv2_3356/synWeights_final.pkl	3.0	1.0	True	3.5
7541	132.0	117.0	83.0	7.015949999999999	5.5939	0.015	-0.015	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	3.0	0.5	True	3.5
15859	101.0	95.0	82.0	6.521112499999999	5.4129	0.005	-0.005	1	0.8	0.8	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	2.5	2.0	False	3.0
6423	101.0	84.0	82.0	6.5497	5.504975	0.015	-0.015	1	0.5	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.5	1.0	True	2.5
13321	116.0	106.0	81.0	6.3133125	5.3997625	0.005	-0.005	0	1.0	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.5	0.5	False	3.0
16564	101.0	84.0	81.0	6.5217	5.4689	0.005	-0.005	1	1.0	0.8	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.5	0.5	True	3.0
13215	98.0	81.0	80.0	6.2226625	5.375475	0.005	-0.005	0	1.0	0.8	results/hpsearch-2021-09-04/initv2_3356/synWeights_final.pkl	2.8	1.0	True	2.5
8170	101.0	93.0	79.0	6.9611625	5.7279125	0.015	-0.015	1	1.0	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.8	0.8	True	3.0
15516	104.0	79.0	79.0	6.3581	5.4445250000000005	0.005	-0.005	1	0.5	0.9	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.8	1.0	False	2.5
16149	101.0	85.0	78.0	6.486675	5.3900625	0.005	-0.005	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.5	2.0	True	2.5
15416	96.0	83.0	78.0	6.5047749999999995	5.428275	0.005	-0.005	1	0.5	0.9	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	2.5	0.8	False	3.5
10546	96.0	83.0	78.0	6.675212500000001	5.4424	0.01	-0.01	1	0.5	0.8	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.8	0.8	True	3.0
15742	88.0	82.0	78.0	6.505062499999999	5.4109625	0.005	-0.005	1	0.8	0.8	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.8	2.0	True	3.0
10749	92.0	85.0	78.0	6.3775375	5.3888125	0.01	-0.01	1	0.5	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.5	2.0	True	2.5
7343	97.0	83.0	77.0	6.505275	5.4496	0.015	-0.015	1	0.8	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	3.0	2.0	True	3.5
15502	92.0	82.0	77.0	6.315375	5.4017125	0.005	-0.005	1	0.5	0.9	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.5	2.0	True	3.0
2805	100.0	83.0	77.0	7.154275	5.511075	0.02	-0.02	1	0.8	0.8	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	3.0	2.0	True	2.5
737	91.0	80.0	76.0	7.0664125	5.3847499999999995	0.02	-0.02	0	1.0	0.9	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	2.5	1.0	True	3.5
1484	93.0	83.0	76.0	6.856725	5.427262499999999	0.02	-0.02	1	0.2	0.9	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.8	2.0	False	3.5
5046	89.0	85.0	76.0	6.8605	5.3914375	0.015	-0.015	0	1.0	0.9	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	2.5	0.8	False	2.5
1246	88.0	78.0	76.0	6.29	5.4058125	0.02	-0.02	1	0.2	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	2.5	2.0	True	3.0
2780	89.0	80.0	75.0	7.140537500000001	5.5706625	0.02	-0.02	1	0.8	0.8	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.8	2.0	False	3.5
142	95.0	80.0	75.0	6.4369	5.4069375	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	3.0	2.0	True	3.0
8389	103.0	84.0	75.0	7.552625000000001	5.9314875	0.015	-0.015	1	1.0	0.9	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.8	1.0	False	3.0
7892	89.0	82.0	75.0	7.180275	5.6206625	0.015	-0.015	1	1.0	0.8	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	2.0	False	3.5
13268	86.0	75.0	73.0	6.4873375	5.395300000000001	0.005	-0.005	0	1.0	0.8	results/hpsearch-2021-09-04/initv2_1005/synWeights_final.pkl	2.5	2.0	False	3.5
