run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	simtype:ResumeSimFromFile	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain
0	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	False	2.5
1	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	False	3.0
2	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	False	3.5
3	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	True	2.5
4	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	True	3.0
5	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	True	3.5
6	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.8	False	2.5
7	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.8	False	3.0
8	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.8	False	3.5
9	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.8	True	2.5
10	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.8	True	3.0
11	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.8	True	3.5
12	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	False	2.5
13	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	False	3.0
14	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	False	3.5
15	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	True	2.5
16	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	True	3.0
17	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	True	3.5
18	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	2.0	False	2.5
19	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	2.0	False	3.0
20	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	2.0	False	3.5
21	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	2.0	True	2.5
22	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	2.0	True	3.0
23	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	2.0	True	3.5
24	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.5	False	2.5
25	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.5	False	3.0
26	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.5	False	3.5
27	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.5	True	2.5
28	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.5	True	3.0
29	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.5	True	3.5
30	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	False	2.5
31	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	False	3.0
32	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	False	3.5
33	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	True	2.5
34	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	True	3.0
35	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	True	3.5
36	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	False	2.5
37	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	False	3.0
38	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	False	3.5
39	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	True	2.5
40	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	True	3.0
41	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	True	3.5
42	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	False	2.5
43	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	False	3.0
44	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	False	3.5
45	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	True	2.5
46	0.02	-0.02	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	True	3.0
