run_id	max_median_s21	max_median_s51	max_median_s101	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLMainFctr	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain
168	182.0	176.0	163.0	10.1849375	7.74835	0.03	-0.03	1	0.5	0.8	0.8	2.8	0.7	False	2.5
7321	175.0	173.0	160.0	9.718725000000001	7.4831375	0.015	-0.015	1	0.9	0.8	0.8	3.0	0.7	False	3.0
1338	194.0	179.0	156.0	11.295375	8.4571375	0.03	-0.03	1	0.9	0.5	0.5	2.8	1.0	False	2.5
6500	167.0	162.0	148.0	8.568999999999999	6.677875	0.015	-0.015	1	0.8	0.5	0.5	2.5	1.0	False	3.5
1987	184.0	155.0	144.0	9.071662499999999	7.09435	0.025	-0.025	1	0.5	0.5	0.5	2.8	1.0	False	3.0
1640	168.0	152.0	143.0	11.5188125	8.1536875	0.03	-0.03	1	0.9	0.9	0.8	3.0	0.8	False	3.5
3842	202.0	144.0	140.0	11.00535	7.8300375	0.025	-0.025	1	0.9	1.0	0.9	2.8	0.7	False	3.5
2546	157.0	138.0	137.0	9.5512125	6.915675	0.025	-0.025	1	0.5	1.0	0.9	2.8	0.7	False	3.5
6214	151.0	141.0	137.0	7.814725	6.2189749999999995	0.015	-0.015	1	0.5	0.9	0.9	2.5	1.0	True	3.0
7118	159.0	152.0	134.0	8.905725	6.8030625	0.015	-0.015	1	0.8	1.0	0.9	3.0	0.9	False	3.5
6410	151.0	141.0	134.0	8.182425	6.4041749999999995	0.015	-0.015	1	0.5	1.0	0.9	2.5	0.7	False	3.5
6911	143.0	135.0	133.0	7.9719	6.218249999999999	0.015	-0.015	1	0.8	0.9	0.9	3.0	1.0	True	3.5
6391	144.0	139.0	133.0	8.8389375	6.5818625	0.015	-0.015	1	0.5	1.0	0.8	3.0	0.8	False	3.0
7026	150.0	132.0	127.0	9.61445	6.982875	0.015	-0.015	1	0.8	1.0	0.8	2.8	1.0	False	2.5
891	168.0	143.0	126.0	11.764275000000001	7.2614125000000005	0.03	-0.03	1	0.8	0.9	0.5	2.8	0.7	True	2.5
5111	139.0	128.0	123.0	8.2451375	6.3174125	0.02	-0.02	1	0.8	1.0	0.8	3.0	1.0	True	3.5
2170	140.0	127.0	122.0	9.832049999999999	6.485275	0.025	-0.025	1	0.5	0.9	0.5	2.5	0.8	True	3.0
1253	145.0	131.0	121.0	9.016612499999999	6.764925	0.03	-0.03	1	0.8	1.0	0.9	2.8	0.7	True	3.5
1084	134.0	121.0	115.0	11.867162500000001	7.0578125	0.03	-0.03	1	0.8	1.0	0.5	2.5	0.7	True	3.0
4979	137.0	117.0	114.0	9.689575000000001	6.3957999999999995	0.02	-0.02	1	0.8	1.0	0.5	2.5	0.8	True	3.5
5319	145.0	128.0	113.0	9.530800000000001	6.759125	0.02	-0.02	1	0.9	0.8	0.5	3.0	0.9	True	2.5
2421	132.0	126.0	109.0	10.0856125	6.4883750000000004	0.025	-0.025	1	0.5	1.0	0.5	2.8	1.0	True	2.5
2227	141.0	130.0	100.0	11.2551625	6.7202375000000005	0.025	-0.025	1	0.5	0.9	0.5	3.0	1.0	False	3.0
1430	158.0	128.0	88.0	11.350449999999999	7.0354	0.03	-0.03	1	0.9	0.8	0.5	3.0	0.9	False	3.5
2396	135.0	124.0	85.0	11.221824999999999	6.5063	0.025	-0.025	1	0.5	1.0	0.5	2.5	1.0	False	3.5
