run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLMainFctr	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain
0	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.7	False	2.5
1	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.7	False	3.0
2	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.7	False	3.5
3	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.7	True	2.5
4	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.7	True	3.0
5	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.7	True	3.5
6	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.8	False	2.5
7	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.8	False	3.0
8	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.8	False	3.5
9	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.8	True	2.5
10	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.8	True	3.0
11	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.8	True	3.5
12	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.9	False	2.5
13	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.9	False	3.0
14	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.9	False	3.5
15	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.9	True	2.5
16	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.9	True	3.0
17	0.03	-0.03	1	0.5	0.5	0.5	2.5	0.9	True	3.5
18	0.03	-0.03	1	0.5	0.5	0.5	2.5	1.0	False	2.5
19	0.03	-0.03	1	0.5	0.5	0.5	2.5	1.0	False	3.0
20	0.03	-0.03	1	0.5	0.5	0.5	2.5	1.0	False	3.5
21	0.03	-0.03	1	0.5	0.5	0.5	2.5	1.0	True	2.5
22	0.03	-0.03	1	0.5	0.5	0.5	2.5	1.0	True	3.0
23	0.03	-0.03	1	0.5	0.5	0.5	2.5	1.0	True	3.5
24	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.7	False	2.5
25	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.7	False	3.0
26	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.7	False	3.5
27	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.7	True	2.5
28	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.7	True	3.0
29	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.7	True	3.5
30	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.8	False	2.5
31	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.8	False	3.0
32	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.8	False	3.5
33	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.8	True	2.5
34	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.8	True	3.0
35	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.8	True	3.5
36	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.9	False	2.5
37	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.9	False	3.0
38	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.9	False	3.5
39	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.9	True	2.5
40	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.9	True	3.0
41	0.03	-0.03	1	0.5	0.5	0.5	2.8	0.9	True	3.5
42	0.03	-0.03	1	0.5	0.5	0.5	2.8	1.0	False	2.5
43	0.03	-0.03	1	0.5	0.5	0.5	2.8	1.0	False	3.0
44	0.03	-0.03	1	0.5	0.5	0.5	2.8	1.0	False	3.5
45	0.03	-0.03	1	0.5	0.5	0.5	2.8	1.0	True	2.5
46	0.03	-0.03	1	0.5	0.5	0.5	2.8	1.0	True	3.0
47	0.03	-0.03	1	0.5	0.5	0.5	2.8	1.0	True	3.5
48	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.7	False	2.5
49	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.7	False	3.0
50	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.7	False	3.5
51	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.7	True	2.5
52	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.7	True	3.0
53	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.7	True	3.5
54	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.8	False	2.5
55	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.8	False	3.0
56	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.8	False	3.5
57	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.8	True	2.5
58	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.8	True	3.0
59	0.03	-0.03	1	0.5	0.5	0.5	3.0	0.8	True	3.5
