run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLMainFctr	sim:targetedRLOppFctr	simtype:ResumeSimFromFile
0	0.02	-0.02	0	0.0	0.5	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
1	0.02	-0.02	0	0.0	0.5	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
2	0.02	-0.02	0	0.0	0.5	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
3	0.02	-0.02	0	0.0	0.5	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
4	0.02	-0.02	0	0.0	0.8	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
5	0.02	-0.02	0	0.0	0.8	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
6	0.02	-0.02	0	0.0	0.8	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
7	0.02	-0.02	0	0.0	0.8	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
8	0.02	-0.02	0	0.0	0.8	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
9	0.02	-0.02	0	0.0	0.8	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
10	0.02	-0.02	0	0.0	0.8	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
11	0.02	-0.02	0	0.0	0.8	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
12	0.02	-0.02	0	0.0	0.9	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
13	0.02	-0.02	0	0.0	0.9	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
14	0.02	-0.02	0	0.0	0.9	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
15	0.02	-0.02	0	0.0	0.9	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
16	0.02	-0.02	0	0.0	0.9	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
17	0.02	-0.02	0	0.0	0.9	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
18	0.02	-0.02	0	0.0	0.9	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
19	0.02	-0.02	0	0.0	0.9	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
20	0.02	-0.02	0	0.0	0.9	0.9	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
21	0.02	-0.02	0	0.0	0.9	0.9	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
22	0.02	-0.02	0	0.0	0.9	0.9	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
23	0.02	-0.02	0	0.0	0.9	0.9	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
24	0.02	-0.02	0	0.0	1.0	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
25	0.02	-0.02	0	0.0	1.0	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
26	0.02	-0.02	0	0.0	1.0	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
27	0.02	-0.02	0	0.0	1.0	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
28	0.02	-0.02	0	0.0	1.0	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
29	0.02	-0.02	0	0.0	1.0	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
30	0.02	-0.02	0	0.0	1.0	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
31	0.02	-0.02	0	0.0	1.0	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
32	0.02	-0.02	0	0.0	1.0	0.9	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
33	0.02	-0.02	0	0.0	1.0	0.9	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
34	0.02	-0.02	0	0.0	1.0	0.9	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
35	0.02	-0.02	0	0.0	1.0	0.9	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
36	0.02	-0.02	1	0.5	0.5	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
37	0.02	-0.02	1	0.5	0.5	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
38	0.02	-0.02	1	0.5	0.5	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
39	0.02	-0.02	1	0.5	0.5	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
40	0.02	-0.02	1	0.5	0.8	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
41	0.02	-0.02	1	0.5	0.8	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
42	0.02	-0.02	1	0.5	0.8	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
43	0.02	-0.02	1	0.5	0.8	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
44	0.02	-0.02	1	0.5	0.8	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
45	0.02	-0.02	1	0.5	0.8	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
46	0.02	-0.02	1	0.5	0.8	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
47	0.02	-0.02	1	0.5	0.8	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
48	0.02	-0.02	1	0.5	0.9	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
49	0.02	-0.02	1	0.5	0.9	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
50	0.02	-0.02	1	0.5	0.9	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
51	0.02	-0.02	1	0.5	0.9	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
52	0.02	-0.02	1	0.5	0.9	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
53	0.02	-0.02	1	0.5	0.9	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
54	0.02	-0.02	1	0.5	0.9	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
55	0.02	-0.02	1	0.5	0.9	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
56	0.02	-0.02	1	0.5	0.9	0.9	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
57	0.02	-0.02	1	0.5	0.9	0.9	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
58	0.02	-0.02	1	0.5	0.9	0.9	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
59	0.02	-0.02	1	0.5	0.9	0.9	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
60	0.02	-0.02	1	0.5	1.0	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
61	0.02	-0.02	1	0.5	1.0	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
62	0.02	-0.02	1	0.5	1.0	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
63	0.02	-0.02	1	0.5	1.0	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
64	0.02	-0.02	1	0.5	1.0	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
65	0.02	-0.02	1	0.5	1.0	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
66	0.02	-0.02	1	0.5	1.0	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
67	0.02	-0.02	1	0.5	1.0	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
68	0.02	-0.02	1	0.5	1.0	0.9	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
69	0.02	-0.02	1	0.5	1.0	0.9	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
70	0.02	-0.02	1	0.5	1.0	0.9	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
71	0.02	-0.02	1	0.5	1.0	0.9	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
72	0.02	-0.02	1	0.8	0.5	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
73	0.02	-0.02	1	0.8	0.5	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
74	0.02	-0.02	1	0.8	0.5	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
75	0.02	-0.02	1	0.8	0.5	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
76	0.02	-0.02	1	0.8	0.8	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
77	0.02	-0.02	1	0.8	0.8	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
78	0.02	-0.02	1	0.8	0.8	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
79	0.02	-0.02	1	0.8	0.8	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
80	0.02	-0.02	1	0.8	0.8	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
81	0.02	-0.02	1	0.8	0.8	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
82	0.02	-0.02	1	0.8	0.8	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
83	0.02	-0.02	1	0.8	0.8	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
84	0.02	-0.02	1	0.8	0.9	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
85	0.02	-0.02	1	0.8	0.9	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
86	0.02	-0.02	1	0.8	0.9	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
87	0.02	-0.02	1	0.8	0.9	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
88	0.02	-0.02	1	0.8	0.9	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
89	0.02	-0.02	1	0.8	0.9	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
90	0.02	-0.02	1	0.8	0.9	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
91	0.02	-0.02	1	0.8	0.9	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
92	0.02	-0.02	1	0.8	0.9	0.9	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
93	0.02	-0.02	1	0.8	0.9	0.9	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
94	0.02	-0.02	1	0.8	0.9	0.9	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
95	0.02	-0.02	1	0.8	0.9	0.9	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
96	0.02	-0.02	1	0.8	1.0	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
97	0.02	-0.02	1	0.8	1.0	0.5	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
98	0.02	-0.02	1	0.8	1.0	0.5	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
99	0.02	-0.02	1	0.8	1.0	0.5	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
100	0.02	-0.02	1	0.8	1.0	0.8	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
101	0.02	-0.02	1	0.8	1.0	0.8	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
102	0.02	-0.02	1	0.8	1.0	0.8	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
103	0.02	-0.02	1	0.8	1.0	0.8	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
104	0.02	-0.02	1	0.8	1.0	0.9	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
105	0.02	-0.02	1	0.8	1.0	0.9	results/hpsearch-2021-09-08/initv4_7321/synWeights_final.pkl
106	0.02	-0.02	1	0.8	1.0	0.9	results/hpsearch-2021-09-08/initv4_1338/synWeights_final.pkl
107	0.02	-0.02	1	0.8	1.0	0.9	results/hpsearch-2021-09-08/initv3_2703/synWeights_final.pkl
108	0.02	-0.02	1	0.9	0.5	0.5	results/hpsearch-2021-09-08/initv4_168/synWeights_final.pkl
