run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
0	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	0.5	False
1	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	0.5	True
2	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	1.0	False
3	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	1.0	True
4	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	2.0	False
5	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	2.0	True
6	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	3.0	False
7	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	1.0	3.0	True
8	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	0.5	False
9	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	0.5	True
10	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	1.0	False
11	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	1.0	True
12	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	2.0	False
13	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	2.0	True
14	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	3.0	False
15	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	2.0	3.0	True
16	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	0.5	False
17	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	0.5	True
18	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	1.0	False
19	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	1.0	True
20	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	2.0	False
