run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA	simtype:ResumeSimFromFile
11815	105.0	85.0	82.0	91.62	5.6543125000000005	3.8543374999999997	0.02	-0.02	5	5	1	0.5	0.5	3.0	True	1.0	3.0	True	results/hpsearch-2021-09-10/best/1_run_140/synWeights_final.pkl
3236	105.0	92.0	84.0	86.06	6.0702625	5.2325	0.025	-0.025	5	5	1	0.5	0.8	3.0	True	3.0	3.0	True	results/hpsearch-2021-09-10/best/2_run_397/synWeights_final.pkl
10765	90.0	79.0	74.0	82.11	8.460424999999999	5.3960875	0.02	-0.02	5	5	0	0.0	0.7	3.0	True	2.0	3.0	True	results/hpsearch-2021-09-10/best/1_run_140/synWeights_final.pkl
32346	98.0	78.0	77.0	81.53	6.8304374999999995	5.278875	0.01	-0.01	5	5	1	0.5	0.8	3.0	True	2.0	1.0	True	results/hpsearch-2021-09-10/best/2_run_397/synWeights_final.pkl
21575	95.0	85.0	79.0	80.02	9.569162500000001	6.3273625000000004	0.015	-0.015	5	5	1	0.5	0.5	3.0	True	3.0	1.0	True	results/hpsearch-2021-09-10/best/1_run_140/synWeights_final.pkl
26991	81.0	78.0	74.0	76.16	7.0868875000000005	5.415312500000001	0.015	-0.015	25	25	1	0.5	0.7	3.0	True	3.0	3.0	False	results/hpsearch-2021-09-10/best/2_run_397/synWeights_final.pkl
9596	81.0	74.0	67.0	74.99	8.5929875	5.6996875000000005	0.025	-0.025	25	25	1	0.9	0.8	3.0	False	2.0	3.0	True	results/hpsearch-2021-09-10/best/2_run_397/synWeights_final.pkl
21524	90.0	64.0	62.0	73.52	5.015375000000001	3.8163375000000004	0.015	-0.015	5	5	1	0.5	0.5	3.0	True	1.0	2.0	False	results/hpsearch-2021-09-10/best/5_run_18367/synWeights_final.pkl
8231	82.0	71.0	70.0	70.71	8.860425	5.6015875	0.025	-0.025	25	25	1	0.9	0.5	1.5	True	2.0	2.0	False	results/hpsearch-2021-09-10/best/2_run_397/synWeights_final.pkl
21400	76.0	70.0	65.0	70.67	9.647225	6.010199999999999	0.015	-0.015	5	5	1	0.5	0.5	2.0	True	3.0	2.0	False	results/hpsearch-2021-09-10/best/1_run_140/synWeights_final.pkl
37211	81.0	78.0	70.0	70.43	6.8660250000000005	5.4195125	0.01	-0.01	25	25	1	0.5	0.8	3.0	True	2.0	2.0	False	results/hpsearch-2021-09-10/best/2_run_397/synWeights_final.pkl
20820	80.0	71.0	65.0	67.83	6.9845	5.444125	0.015	-0.015	5	5	0	0.0	0.8	2.0	True	2.0	1.0	False	results/hpsearch-2021-09-10/best/1_run_140/synWeights_final.pkl
21974	71.0	63.0	59.0	66.04	5.1066625000000005	3.7551625	0.015	-0.015	5	5	1	0.5	0.7	3.0	False	1.0	2.0	False	results/hpsearch-2021-09-10/best/5_run_18367/synWeights_final.pkl
3535	69.0	61.0	61.0	65.59	4.4747875	2.8323	0.025	-0.025	5	5	1	0.9	0.5	2.0	True	1.0	3.0	True	results/hpsearch-2021-09-10/best/1_run_140/synWeights_final.pkl
489	78.0	62.0	60.0	64.98	8.096025000000001	5.4353125	0.025	-0.025	5	5	0	0.0	0.5	3.0	True	2.0	1.0	True	results/hpsearch-2021-09-10/best/5_run_18367/synWeights_final.pkl
16619	72.0	65.0	62.0	63.96	7.5432749999999995	5.414975	0.02	-0.02	25	25	1	0.5	0.5	3.0	False	2.0	3.0	True	results/hpsearch-2021-09-10/best/5_run_18367/synWeights_final.pkl
22513	64.0	59.0	58.0	63.22	5.0852125	3.3523125	0.015	-0.015	5	5	1	0.5	0.8	3.0	False	1.0	2.0	False	results/hpsearch-2021-09-10/best/4_run_16118/synWeights_final.pkl
20792	62.0	57.0	54.0	59.2	6.944425	8.315075	0.015	-0.015	5	5	0	0.0	0.8	2.0	True	1.0	1.0	False	results/hpsearch-2021-09-10/best/3_run_10219/synWeights_final.pkl
