run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
6860	121.0	90.0	81.0	87.14	8.2203	5.970775	0.01	-0.01	25	25	0	0.0	0.5	2.0	True	1.0	2.0	False
4519	114.0	89.0	81.0	84.11	7.508799999999999	5.465400000000001	0.015	-0.015	5	5	1	0.5	0.8	3.0	True	1.0	1.0	True
958	101.0	76.0	65.0	83.53	7.4944749999999996	5.338775	0.025	-0.025	5	5	1	0.9	0.8	3.0	True	1.0	3.0	False
4178	95.0	78.0	74.0	82.02	8.2193875	6.1452875	0.015	-0.015	5	5	0	0.0	0.8	3.0	False	1.0	2.0	False
5497	88.0	80.0	71.0	81.65	7.93895	5.979925	0.015	-0.015	25	25	1	0.5	0.8	3.0	True	2.0	1.0	True
5694	100.0	87.0	77.0	80.55	9.513549999999999	6.4884125	0.015	-0.015	25	25	1	0.9	0.7	3.0	False	2.0	1.0	False
3916	95.0	79.0	70.0	80.49	8.543725	6.1812249999999995	0.015	-0.015	5	5	0	0.0	0.5	1.5	True	2.0	3.0	False
5526	85.0	77.0	69.0	80.35	8.38615	5.97475	0.015	-0.015	25	25	1	0.9	0.5	1.5	True	1.0	1.0	False
1616	94.0	73.0	68.0	79.77	8.063725	6.008775	0.025	-0.025	25	25	1	0.5	0.8	3.0	True	3.0	2.0	False
7226	111.0	68.0	63.0	79.66	8.25275	6.110799999999999	0.01	-0.01	25	25	1	0.5	0.5	3.0	True	2.0	2.0	False
7255	100.0	80.0	71.0	79.22	8.2237	5.885225	0.01	-0.01	25	25	1	0.5	0.7	1.5	True	1.0	1.0	True
6185	92.0	89.0	72.0	78.76	8.115725000000001	5.857075	0.01	-0.01	5	5	1	0.5	0.5	1.5	True	2.0	3.0	True
5929	105.0	77.0	67.0	78.5	8.259075	6.0969	0.01	-0.01	5	5	0	0.0	0.5	3.0	True	2.0	1.0	True
7760	81.0	76.0	68.0	76.62	8.197199999999999	5.984675	0.01	-0.01	25	25	1	0.9	0.8	3.0	True	1.0	2.0	False
7466	109.0	84.0	66.0	76.39	8.85005	6.2169	0.01	-0.01	25	25	1	0.9	0.5	1.5	False	3.0	2.0	False
2192	90.0	84.0	65.0	76.38	8.26465	6.075125	0.02	-0.02	5	5	0	0.0	0.8	1.5	True	3.0	2.0	False
1389	93.0	70.0	69.0	76.15	8.4655	5.9889	0.025	-0.025	25	25	1	0.5	0.5	3.0	True	1.0	2.0	True
7427	105.0	79.0	65.0	75.66	8.222825	5.9228499999999995	0.01	-0.01	25	25	1	0.5	0.8	3.0	False	2.0	3.0	True
4893	102.0	80.0	60.0	75.39	8.420375	6.1531	0.015	-0.015	25	25	0	0.0	0.5	1.5	True	3.0	2.0	True
3372	80.0	69.0	64.0	74.98	8.44755	6.168175	0.02	-0.02	25	25	1	0.5	0.7	1.5	True	2.0	1.0	False
3056	93.0	85.0	68.0	73.61	8.169799999999999	6.0886499999999995	0.02	-0.02	25	25	0	0.0	0.7	1.5	True	3.0	2.0	False
1043	89.0	69.0	66.0	73.53	8.247125	6.225675	0.025	-0.025	25	25	0	0.0	0.5	2.0	True	3.0	3.0	True
1363	107.0	80.0	62.0	73.49	8.439725	6.250075	0.025	-0.025	25	25	1	0.5	0.5	2.0	True	3.0	1.0	True
5877	103.0	80.0	65.0	73.35	8.5258	6.254175	0.01	-0.01	5	5	0	0.0	0.5	2.0	False	2.0	2.0	True
1144	74.0	71.0	59.0	71.16	8.1716	6.222475	0.025	-0.025	25	25	0	0.0	0.7	2.0	True	2.0	3.0	False
1117	77.0	68.0	58.0	71.15	8.56315	6.118975	0.025	-0.025	25	25	0	0.0	0.7	2.0	False	1.0	1.0	True
2545	89.0	65.0	60.0	70.3	8.831125	7.098775000000001	0.02	-0.02	5	5	1	0.5	0.8	2.0	True	2.0	1.0	True
146	79.0	65.0	59.0	70.03	9.10625	6.3645000000000005	0.025	-0.025	5	5	0	0.0	0.7	2.0	False	1.0	2.0	False
2976	86.0	73.0	63.0	69.74	8.271375	6.21575	0.02	-0.02	25	25	0	0.0	0.5	2.0	True	2.0	1.0	False
3934	86.0	69.0	55.0	69.65	10.021375	6.469775	0.015	-0.015	5	5	0	0.0	0.5	2.0	False	2.0	3.0	False
5541	96.0	79.0	58.0	69.25	8.322849999999999	6.189075	0.015	-0.015	25	25	1	0.9	0.5	1.5	True	3.0	2.0	True
2347	92.0	65.0	60.0	67.7	11.5861	7.982075	0.02	-0.02	5	5	1	0.5	0.5	3.0	False	2.0	1.0	True
3721	89.0	68.0	57.0	66.75	9.028625	6.47265	0.02	-0.02	25	25	1	0.9	0.7	2.0	False	3.0	1.0	True
4804	87.0	63.0	60.0	66.46	9.029675000000001	7.1606250000000005	0.015	-0.015	5	5	1	0.9	0.8	2.0	False	3.0	3.0	False
1298	78.0	58.0	49.0	65.44	8.793775	6.3366999999999996	0.025	-0.025	25	25	1	0.5	0.5	1.5	False	1.0	2.0	False
2335	87.0	60.0	54.0	64.67	12.280075	8.252775	0.02	-0.02	5	5	1	0.5	0.5	2.0	True	3.0	1.0	True
1306	68.0	58.0	50.0	61.99	9.645275	6.7384	0.025	-0.025	25	25	1	0.5	0.5	1.5	False	2.0	3.0	False
1226	66.0	55.0	54.0	61.27	8.442825000000001	6.3121	0.025	-0.025	25	25	0	0.0	0.8	2.0	False	1.0	2.0	False
663	58.0	54.0	48.0	58.18	13.739275000000001	8.7666	0.025	-0.025	5	5	1	0.9	0.5	1.5	False	3.0	2.0	True
