run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:ang	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain
1197	186.0	169.0	159.0	189.51	13.025725	9.1033	0.02	-0.02	1	0.8	0.7	1.0	0.5	True	1.0	1.0
7375	196.0	173.0	163.0	187.81	13.243475	9.2561	0.005	-0.005	1	0.9	0.5	1.0	1.0	True	2.0	2.0
2050	199.0	173.0	166.0	187.75	13.464725000000001	9.3325	0.015	-0.015	0	0.0	0.5	1.0	2.0	True	2.8	2.0
7145	184.0	176.0	170.0	186.24	13.2785	9.230075	0.005	-0.005	1	0.8	0.8	0.5	0.5	True	2.8	3.0
4475	191.0	167.0	165.0	184.84	13.004150000000001	9.16455	0.01	-0.01	1	0.5	0.5	1.0	2.0	True	1.0	3.0
6075	192.0	182.0	170.0	184.3	13.091575	9.2295	0.005	-0.005	0	0.0	0.7	1.0	1.0	True	1.0	1.0
154	182.0	171.0	163.0	183.32	13.0786	9.2684	0.02	-0.02	0	0.0	0.5	2.0	2.0	True	1.0	2.0
6047	221.0	168.0	156.0	179.57	13.199549999999999	9.28595	0.005	-0.005	0	0.0	0.7	0.5	2.0	True	2.8	3.0
4550	179.0	166.0	157.0	179.35	13.2189	9.16475	0.01	-0.01	1	0.5	0.7	0.5	0.5	True	2.0	3.0
4966	178.0	165.0	157.0	179.09	13.210975	9.1999	0.01	-0.01	1	0.8	0.5	1.0	2.0	True	2.8	2.0
7735	191.0	170.0	163.0	179.03	13.274025	9.228575	0.005	-0.005	1	0.9	0.8	2.0	0.5	True	2.0	2.0
4511	176.0	164.0	156.0	178.92	12.899674999999998	9.092175000000001	0.01	-0.01	1	0.5	0.5	2.0	1.0	True	1.0	3.0
6930	198.0	172.0	159.0	178.78	13.17705	9.171375000000001	0.005	-0.005	1	0.8	0.5	2.0	1.0	False	1.0	1.0
4545	187.0	170.0	158.0	178.07	13.057599999999999	9.17265	0.01	-0.01	1	0.5	0.7	0.5	0.5	True	1.0	1.0
6777	196.0	175.0	152.0	177.02	13.043074999999998	9.175675	0.005	-0.005	1	0.5	0.8	2.0	1.0	True	1.0	1.0
2572	188.0	171.0	160.0	175.34	13.158850000000001	9.15905	0.015	-0.015	1	0.5	0.5	2.0	1.0	True	2.8	2.0
7679	181.0	166.0	158.0	173.44	13.050175	9.099725	0.005	-0.005	1	0.9	0.8	1.0	0.5	True	1.0	3.0
6005	173.0	171.0	166.0	173.19	13.310274999999999	9.29325	0.005	-0.005	0	0.0	0.7	0.5	0.5	True	1.0	3.0
4619	174.0	168.0	159.0	172.23	13.194975	9.19665	0.01	-0.01	1	0.5	0.7	1.0	1.0	True	1.0	3.0
6393	176.0	167.0	161.0	170.7	13.53555	9.3066	0.005	-0.005	1	0.5	0.5	1.0	1.0	False	2.0	1.0
