run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	critic:biases:loc	critic:biases:vel	critic:biases:ang	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	sim:normalizeByGainControlValue	simtype:ResumeSimFromFile
39602	131.0	126.0	124.0	129.05	13.43485	9.0551	0.01	-0.01	0.0	0.0	0.5	1.0	False	2.8	0.25	0.0001	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
58076	123.0	118.0	117.0	124.0	9.0181375	6.140425	0.01	-0.01	2.0	2.0	1.0	0.5	True	2.8	0.25	0.0004	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
45404	130.0	125.0	113.0	123.88	11.13945	7.557425	0.01	-0.01	0.5	1.0	0.5	0.5	False	2.0	0.25	0.0004	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
36230	125.0	116.0	113.0	123.26	10.728625	7.011175	0.02	-0.02	1.5	2.0	2.0	2.0	True	2.0	0.5	0.0002	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
45488	127.0	119.0	112.0	118.02	13.8881125	8.8571625	0.01	-0.01	0.5	1.0	0.5	0.5	True	1.0	1.0	0.0001	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
48890	117.0	113.0	106.0	117.27	12.574925	8.036275	0.01	-0.01	1.0	1.0	1.0	0.5	False	2.8	0.25	0.0001	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
35600	118.0	109.0	101.0	106.82	3.99435	2.574925	0.02	-0.02	1.5	2.0	1.0	1.0	True	2.0	2.0	0.0002	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
8048	101.0	95.0	87.0	98.35	5.3770875	3.4027625	0.03	-0.03	1.0	0.5	1.0	0.5	False	2.0	1.0	0.0001	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
47140	119.0	103.0	100.0	95.59	5.2442125	3.8057125	0.01	-0.01	1.0	0.5	0.5	1.0	False	2.0	0.5	0.0004	results/hpsearch-2021-09-04/best/2_run_3233/synWeights_final.pkl
18497	112.0	109.0	92.0	95.1	5.9438	3.8043625	0.03	-0.03	2.0	2.0	0.5	1.0	True	1.0	2.0	0.0001	results/hpsearch-2021-09-06/best/1_run_168/synWeights_final.pkl
