run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLlenhebb	STDP-RL:AMPA:RLlenanti	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:loc	critic:biases:vel	critic:biases:ang	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	sim:normalizeByGainControlValue
513346	53.0	45.0	44.0	47.72	3.3618	3.89815	255	255	0.025	-0.025	25	25	0	0.0	0.8	1.0	1.0	0.5	0.5	True	2.0	2.0	0.0002
420035	54.0	47.0	41.0	46.94	3.8021000000000003	4.026400000000001	204	204	0.02	-0.02	45	45	1	0.5	0.8	1.0	1.0	0.5	0.5	True	2.0	2.0	0.0004
224396	52.0	43.0	41.0	45.29	3.9277	4.03725	153	153	0.02	-0.02	5	5	0	0.0	1.0	2.0	2.0	0.25	0.25	True	1.0	1.0	0.0004
171537	47.0	46.0	41.0	44.65	4.37415	4.2081	153	153	0.025	-0.025	5	5	1	0.5	0.8	2.0	2.0	1.0	1.0	False	2.8	2.0	0.0001
351246	49.0	41.0	40.0	44.47	3.44645	3.9796	204	204	0.025	-0.025	25	25	1	0.5	0.8	2.0	2.0	1.0	1.0	False	2.8	1.0	0.0001
618443	59.0	42.0	41.0	44.4	3.9115	4.09465	255	255	0.01	-0.01	5	5	1	0.8	1.0	2.0	2.0	0.5	0.5	False	2.8	2.0	0.0004
562137	46.0	42.0	40.0	43.04	2.2636	2.9663	255	255	0.02	-0.02	5	5	1	0.8	0.8	2.0	2.0	2.0	2.0	False	2.8	2.0	0.0001
120383	42.0	39.0	38.0	42.21	3.4329500000000004	3.8241500000000004	51	51	0.01	-0.01	5	5	1	0.8	1.0	0.5	0.5	2.0	2.0	True	2.8	2.0	0.0004
581925	43.0	41.0	39.0	41.82	3.19575	3.8526499999999997	255	255	0.02	-0.02	45	45	0	0.0	0.8	0.0	0.0	1.0	1.0	False	2.0	2.0	0.0001
29806	52.0	42.0	37.0	41.76	3.48605	3.8954999999999997	51	51	0.025	-0.025	45	45	0	0.0	0.8	2.0	2.0	0.5	0.5	True	2.8	2.0	0.0002
648533	46.0	39.0	35.0	41.32	3.86695	4.10365	255	255	0.01	-0.01	45	45	1	0.9	0.8	2.0	2.0	2.0	2.0	False	2.8	0.5	0.0004
345053	42.0	40.0	38.0	41.06	3.17295	3.5491	204	204	0.025	-0.025	5	5	1	0.9	1.0	1.0	1.0	0.25	0.25	False	2.8	0.5	0.0004
569181	44.0	41.0	36.0	40.46	3.2573999999999996	3.8455500000000002	255	255	0.02	-0.02	25	25	0	0.0	1.0	0.0	0.0	0.5	0.5	False	2.0	2.0	0.0001
640761	45.0	38.0	38.0	40.14	3.12565	3.81575	255	255	0.01	-0.01	45	45	1	0.5	0.8	0.0	0.0	2.0	2.0	False	2.8	2.0	0.0001
329146	47.0	38.0	36.0	40.05	3.3215000000000003	3.9188	153	153	0.01	-0.01	65	65	1	0.9	0.5	1.0	1.0	2.0	2.0	False	2.8	2.0	0.0002
