run_id	STDP-RL:AMPA:RLlenhebb	STDP-RL:AMPA:RLlenanti	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	critic:negRewardBias
0	52	52	0.1	-0.1	2	2	-0.05
1	52	52	0.1	-0.1	2	2	-0.02
2	52	52	0.1	-0.1	2	2	-0.01
3	52	52	0.1	-0.1	2	2	-0.005
4	52	52	0.1	-0.1	3	3	-0.05
5	52	52	0.1	-0.1	3	3	-0.02
6	52	52	0.1	-0.1	3	3	-0.01
7	52	52	0.1	-0.1	3	3	-0.005
8	52	52	0.1	-0.1	5	5	-0.05
9	52	52	0.1	-0.1	5	5	-0.02
10	52	52	0.1	-0.1	5	5	-0.01
11	52	52	0.1	-0.1	5	5	-0.005
12	52	52	0.1	-0.1	10	10	-0.05
13	52	52	0.1	-0.1	10	10	-0.02
14	52	52	0.1	-0.1	10	10	-0.01
15	52	52	0.1	-0.1	10	10	-0.005
16	52	52	0.1	-0.1	25	25	-0.05
17	52	52	0.1	-0.1	25	25	-0.02
18	52	52	0.1	-0.1	25	25	-0.01
19	52	52	0.1	-0.1	25	25	-0.005
20	52	52	0.05	-0.05	2	2	-0.05
21	52	52	0.05	-0.05	2	2	-0.02
22	52	52	0.05	-0.05	2	2	-0.01
23	52	52	0.05	-0.05	2	2	-0.005
24	52	52	0.05	-0.05	3	3	-0.05
25	52	52	0.05	-0.05	3	3	-0.02
26	52	52	0.05	-0.05	3	3	-0.01
27	52	52	0.05	-0.05	3	3	-0.005
28	52	52	0.05	-0.05	5	5	-0.05
29	52	52	0.05	-0.05	5	5	-0.02
30	52	52	0.05	-0.05	5	5	-0.01
31	52	52	0.05	-0.05	5	5	-0.005
32	52	52	0.05	-0.05	10	10	-0.05
33	52	52	0.05	-0.05	10	10	-0.02
34	52	52	0.05	-0.05	10	10	-0.01
35	52	52	0.05	-0.05	10	10	-0.005
36	52	52	0.05	-0.05	25	25	-0.05
37	52	52	0.05	-0.05	25	25	-0.02
38	52	52	0.05	-0.05	25	25	-0.01
39	52	52	0.05	-0.05	25	25	-0.005
40	52	52	0.02	-0.02	2	2	-0.05
41	52	52	0.02	-0.02	2	2	-0.02
42	52	52	0.02	-0.02	2	2	-0.01
43	52	52	0.02	-0.02	2	2	-0.005
44	52	52	0.02	-0.02	3	3	-0.05
45	52	52	0.02	-0.02	3	3	-0.02
46	52	52	0.02	-0.02	3	3	-0.01
47	52	52	0.02	-0.02	3	3	-0.005
48	52	52	0.02	-0.02	5	5	-0.05
49	52	52	0.02	-0.02	5	5	-0.02
50	52	52	0.02	-0.02	5	5	-0.01
51	52	52	0.02	-0.02	5	5	-0.005
52	52	52	0.02	-0.02	10	10	-0.05
