run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLlenhebb	STDP-RL:AMPA:RLlenanti	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedRL	sim:targetedRLOppFctr	sim:targetedNonEM	critic:posRewardBias	critic:angv_bias
3139	136.0	126.0	80.0	97.18	5.4804	5.0703000000000005	200	200	0.02	-0.02	5	5	3	0.8	1	2.5	1.0
5928	117.0	100.0	78.0	85.11	5.64545	5.1706	400	400	0.02	-0.02	3	3	3	1.0	0	1.5	0.4
4661	100.0	89.0	77.0	82.74	4.32005	4.46535	250	250	0.02	-0.02	10	10	3	0.8	0	2.5	0.5
4662	101.0	80.0	67.0	81.06	4.8092	4.78765	250	250	0.02	-0.02	10	10	3	0.8	0	2.5	0.7
4483	86.0	62.0	58.0	68.5	4.61965	4.55065	250	250	0.02	-0.02	3	3	3	0.8	1	2.5	1.0
357	70.0	64.0	61.0	65.91	5.61465	5.0455	50	50	0.02	-0.02	10	10	3	0.8	1	2.8	0.5
3537	74.0	69.0	60.0	65.4	5.84255	5.2654499999999995	200	200	0.01	-0.01	3	3	3	1.0	0	2.8	0.5
3519	70.0	59.0	53.0	63.81	4.252000000000001	4.30015	200	200	0.01	-0.01	3	3	3	0.8	1	1.5	1.0
6680	62.0	58.0	54.0	60.25	5.5001	5.300050000000001	400	400	0.01	-0.01	25	25	3	0.8	0	2.8	0.4
5162	64.0	54.0	48.0	59.19	4.51085	4.737	250	250	0.01	-0.01	10	10	3	1.0	0	1.5	0.7
6459	70.0	50.0	45.0	57.58	4.299	5.0603	400	400	0.01	-0.01	5	5	2	1.0	0	1.5	1.0
4541	69.0	57.0	46.0	55.9	5.66235	4.91905	250	250	0.02	-0.02	5	5	2	1.0	0	2.5	0.5
6910	78.0	51.0	46.0	55.45	6.23785	5.4575000000000005	400	400	0.005	-0.005	3	3	3	1.0	1	2.8	0.7
