run_id	STDP-RL:AMPA:RLlenhebb	STDP-RL:AMPA:RLlenanti	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedRL	sim:targetedRLOppFctr	sim:targetedNonEM	critic:posRewardBias	critic:angv_bias
0	50	50	0.02	-0.02	2	2	1	1.0	0	1.5	0.4
1	50	50	0.02	-0.02	2	2	1	1.0	0	1.5	0.5
2	50	50	0.02	-0.02	2	2	1	1.0	0	1.5	0.7
3	50	50	0.02	-0.02	2	2	1	1.0	0	1.5	1.0
4	50	50	0.02	-0.02	2	2	1	1.0	0	2.5	0.4
5	50	50	0.02	-0.02	2	2	1	1.0	0	2.5	0.5
6	50	50	0.02	-0.02	2	2	1	1.0	0	2.5	0.7
7	50	50	0.02	-0.02	2	2	1	1.0	0	2.5	1.0
8	50	50	0.02	-0.02	2	2	1	1.0	0	2.8	0.4
9	50	50	0.02	-0.02	2	2	1	1.0	0	2.8	0.5
10	50	50	0.02	-0.02	2	2	1	1.0	0	2.8	0.7
11	50	50	0.02	-0.02	2	2	1	1.0	0	2.8	1.0
12	50	50	0.02	-0.02	2	2	1	1.0	1	1.5	0.4
13	50	50	0.02	-0.02	2	2	1	1.0	1	1.5	0.5
14	50	50	0.02	-0.02	2	2	1	1.0	1	1.5	0.7
15	50	50	0.02	-0.02	2	2	1	1.0	1	1.5	1.0
16	50	50	0.02	-0.02	2	2	1	1.0	1	2.5	0.4
17	50	50	0.02	-0.02	2	2	1	1.0	1	2.5	0.5
18	50	50	0.02	-0.02	2	2	1	1.0	1	2.5	0.7
19	50	50	0.02	-0.02	2	2	1	1.0	1	2.5	1.0
20	50	50	0.02	-0.02	2	2	1	1.0	1	2.8	0.4
21	50	50	0.02	-0.02	2	2	1	1.0	1	2.8	0.5
22	50	50	0.02	-0.02	2	2	1	1.0	1	2.8	0.7
23	50	50	0.02	-0.02	2	2	1	1.0	1	2.8	1.0
24	50	50	0.02	-0.02	2	2	2	1.0	0	1.5	0.4
25	50	50	0.02	-0.02	2	2	2	1.0	0	1.5	0.5
26	50	50	0.02	-0.02	2	2	2	1.0	0	1.5	0.7
27	50	50	0.02	-0.02	2	2	2	1.0	0	1.5	1.0
28	50	50	0.02	-0.02	2	2	2	1.0	0	2.5	0.4
29	50	50	0.02	-0.02	2	2	2	1.0	0	2.5	0.5
30	50	50	0.02	-0.02	2	2	2	1.0	0	2.5	0.7
31	50	50	0.02	-0.02	2	2	2	1.0	0	2.5	1.0
32	50	50	0.02	-0.02	2	2	2	1.0	0	2.8	0.4
33	50	50	0.02	-0.02	2	2	2	1.0	0	2.8	0.5
34	50	50	0.02	-0.02	2	2	2	1.0	0	2.8	0.7
35	50	50	0.02	-0.02	2	2	2	1.0	0	2.8	1.0
36	50	50	0.02	-0.02	2	2	2	1.0	1	1.5	0.4
37	50	50	0.02	-0.02	2	2	2	1.0	1	1.5	0.5
38	50	50	0.02	-0.02	2	2	2	1.0	1	1.5	0.7
