run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
2371	143.0	124.0	115.0	131.85	6.221525	5.3870249999999995	0.001	-0.001	5	5	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.0	1.0
2475	138.0	125.0	118.0	128.72	7.1575999999999995	5.5322125	0.001	-0.001	5	5	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	1.5	1.0
2329	135.0	127.0	119.0	126.92	7.182787500000001	5.5242375	0.001	-0.001	5	5	0	1.0	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	1.5	0.7
2624	152.0	118.0	110.0	125.1	7.3479	5.676525	0.001	-0.001	5	5	1	0.8	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.5	0.5
2897	130.0	118.0	114.0	124.13	7.1844624999999995	5.527175	0.001	-0.001	10	10	0	1.0	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	0.7
2463	145.0	120.0	113.0	120.84	7.2160125	5.5536	0.001	-0.001	5	5	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	1.5	1.0
3213	127.0	120.0	108.0	119.61	6.343825	5.488575	0.001	-0.001	10	10	1	0.8	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.5	0.7
2461	153.0	110.0	107.0	119.02	7.2630375	5.577875000000001	0.001	-0.001	5	5	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	1.5	0.7
2320	142.0	119.0	106.0	118.37	7.138925	5.5354875	0.001	-0.001	5	5	0	1.0	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	0.5
1905	141.0	118.0	113.0	117.71	7.1710875000000005	5.5865375	0.001	-0.001	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.5	0.7
3077	130.0	121.0	105.0	117.68	6.2552625	5.4161625	0.001	-0.001	10	10	1	0.5	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.0	0.7
2066	145.0	132.0	109.0	116.49	6.261525000000001	5.424025	0.001	-0.001	3	3	1	0.8	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	1.5	0.8
2483	136.0	112.0	106.0	116.34	7.2499875000000005	5.5730875	0.001	-0.001	5	5	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.5	1.0
3202	142.0	117.0	111.0	116.26	7.19755	5.6088875	0.001	-0.001	10	10	1	0.8	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.5	0.8
3414	123.0	113.0	107.0	115.28	5.94835	4.975725	0.001	-0.001	10	10	1	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.0	0.8
1510	126.0	105.0	96.0	114.16	8.9104125	7.302124999999999	0.005	-0.005	10	10	1	0.8	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.5	0.8
1295	137.0	120.0	107.0	114.12	6.0264125	5.005850000000001	0.005	-0.005	10	10	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	1.0	2.5	1.0
2502	134.0	118.0	104.0	114.12	6.2918875	5.4293	0.001	-0.001	5	5	1	0.5	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.0	0.8
3340	125.0	119.0	102.0	114.11	7.203449999999999	5.6042499999999995	0.001	-0.001	10	10	1	1.0	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.0	0.5
2611	131.0	114.0	103.0	114.06	7.3215	5.6179875	0.001	-0.001	5	5	1	0.8	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	1.0
