run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
0	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	1.5	0.7
1	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	1.5	1.0
2	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	1.5	1.2
3	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.0	0.7
4	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.0	1.0
5	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.0	1.2
6	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.5	0.7
7	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.5	1.0
8	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.5	1.2
9	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	1.5	0.7
10	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	1.5	1.0
11	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	1.5	1.2
12	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.0	0.7
13	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.0	1.0
14	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.0	1.2
15	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.5	0.7
16	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.5	1.0
17	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.5	1.2
18	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	1.5	0.7
19	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	1.5	1.0
20	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	1.5	1.2
21	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.0	0.7
22	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.0	1.0
23	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.0	1.2
24	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.5	0.7
25	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.5	1.0
26	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.5	1.2
27	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	1.5	0.7
28	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	1.5	1.0
29	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	1.5	1.2
30	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	0.7
31	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	1.0
32	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	1.2
33	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	0.7
34	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	1.0
35	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	1.2
36	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	0.7
37	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	1.0
38	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	1.2
39	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.0	0.7
40	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.0	1.0
41	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.0	1.2
42	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.5	0.7
43	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.5	1.0
44	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.5	1.2
45	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	1.5	0.7
46	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	1.5	1.0
47	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	1.5	1.2
48	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.0	0.7
49	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.0	1.0
50	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.0	1.2
51	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.5	0.7
52	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.5	1.0
53	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.5	1.2
54	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	1.5	0.7
55	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	1.5	1.0
56	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	1.5	1.2
57	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.0	0.7
58	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.0	1.0
59	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.0	1.2
60	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.5	0.7
61	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.5	1.0
62	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.5	1.2
63	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	1.5	0.7
64	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	1.5	1.0
65	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	1.5	1.2
66	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.0	0.7
67	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.0	1.0
68	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.0	1.2
